Box Name,Shelf Number,Category,What to do when expired,Check for Expiration Dates,Count?,Sort By…,Other Notes,Box Size,New Letter,Old Letter
Adult Diapers,1,Personal Care,Remove from package that is dated and return to box,N,N,,,L,B,E
OB Pads,1,Mother & Child,Remove from package that is dated and return to box,Y,N,,,L,A,D
OB/GYN Mix,1,Mother & Child,"Depends on the item, ask an expert",Y,N,Similar items,,L,A,D
Pediatric Diapers,1,Mother & Child,Remove from package that is dated and return to box,Y,N,,,L,A,E
Pediatric Supplies,1,Mother & Child,"Depends on the item, ask an expert",Y,N,Similar items,,L,A,E
Speculums,1,Mother & Child,Remove from package that is dated and return to box,N,Y,,,S,A,D
Anti-Embolism Stockings,2,Personal Care,Remove from package that is dated and return to box,Y,Y,Size,"Count the total number of stockings, no need to count individual sizes.",L,B,F
Oral Care,2,Personal Care,Remove from package that is dated and return to box,Y,N,Similar items,,L,B,F
Personal Care,2,Personal Care,"Depends on the item, ask an expert",Y,N,Similar items,Make sure all caps are on tightly. Put liquids into ziplock bags. Use common sense when choosing box size.,S or L,B,F
Slippers,2,Personal Care,Remove from package that is dated and return to box,N,N,,There are approx. 50 pairs in a box.,S,B,E
Under Pads/Chux (Cloth),2,Personal Care,Remove from package that is dated and return to box,N,Y,,,L,B,E
Under Pads/Chux (Disposable),2,Personal Care,Remove from package that is dated and return to box,N,N,,Look carefully! Adult diapers look similar.,L,B,E
Blood Pressure Cuffs/Stethoscopes,3,Patient Care,Remove from package that is dated and return to box,N,Y,Similar items,BP cuffs must have all parts and checked to be full working order.,S,C,I
Diabetic Glucometers,3,Patient Care,Remove from package that is dated and return to box,Y,Y,Brand,Glucometers cannot be sent without the correct test strips for the device.,L,C,I
Diabetic Supplies,3,Patient Care,Throw in garbage,Y,Y,Brand,Glucometer test strips cannot be sent without the correct glucometer.,L,C,I
Foam,3,Patient Care,Remove from package that is dated and return to box,Y,Y,Similar items,,L,C,G
Patient Care,3,Patient Care,"Depends on the item, ask an expert",Y,N,Similar items,Use common sense when choosing box size.,S or L,C,F
Probe Covers,3,Patient Care,Remove from package that is dated and return to box,Y,Y,Type of probe cover,Probe covers cannot be sent without the correct thermometer.,S,C,F
Bed Linens,4,Patient Care,Not applicable,N,N,,,L,C,W
