Box Number,Box Size & Weight,Contents,Exp date,Date entered,Reserved For,Shipped To,Date Shipped,
J128,,Paper Gowns (Unsterile),4,Clinton,,,,
J132,,"Gowns (Paper, Unsterile)",44,Clinton,,,,
J182,,Paper Gowns (Unsterile),58,Clinton,,,,
J222,,Gowns (Sterile),27,Clinton,,,,
J225,,"Sheets (Paper, Sterile)",58,Clinton,,,,
J228,,"Gowns (Paper, Unsterile)",90,Clinton,,,,
J243,,"Gowns (Paper, Unsterile)",,Clinton,,,,
J244,,"Gowns (Paper, Unsterile)",52,Clinton,,,,
J245,,"Gowns (Paper, Unsterile)",,Clinton,,,,
J248,,"Gloves (Unsterile, loose)",,Clinton,AFG,,,
J257,,"Gowns (Paper, Unsterile)",50,Clinton,,,,
J259,,Gowns,,Clinton,,,,
J261,,Gowns (unsterile),47,Clinton,,,,
J262,,Gowns,,Clinton,,,,
J264,,Gowns (Unsterile),,Clinton,,,,
J324,,unsterile paper gowns,,Clinton,,,,
J337,,Exam Gloves x36,10/2012,clinton,Bongolo Hospital,,,
J378,,44 unsterile paper gowns,no exp,1/18/2012,,,,
J380,,50 unsterile paper gowns,no exp,1/18/2012,,,,
J382,,Loose exam gloves unsterile,no exp,1/27/2012,,,,
J383,,16 Arthoscopy drapes,no exp,2/13/2012,,,,
J384,,Sterile x 38,5/2013,2/13/2012,,,,
J385,,35 unsterile plastic gowns,no exp,2/15/2012,,,,
J387,,Paper gowns 86 ea. UNSTERILE,No exp,2/27/2012,,,,
J388,,Exam gloves UNSTERILE,No exp,2/28/2012,,,,
J389,,Exam gloves UNSTERILE,No exp,2/28/2012,,,,
J390,,Exam gloves UNSTERILE,No exp,2/28/2012,,,,
J391,,Impervious stockinettes 90 ea.,No exp,3/1/2012,,,,
J396,,Paper gowns 40 ea. unsterile,No exp,3/12/2012,,,,
J397,,Exam gloves (unsterile),9/2014,3/21/2012,Kenya,,,
J398,,Exam gloves (unsterile),No exp.,3/21/2012,Kenya,,,
J399,,Exam gloves (unsterile),1/2014,3/21/2012,Kenya,,,
J400,,Exam gloves (unsterile),8/2014,3/21/2012,Kenya,,,
J401,,Exam gloves (unsterile),11/2014,3/21/2012,,,,
J402,,Exam gloves (unsterile),No exp.,3/21/2012,,,,
J403,,Steril3 sheets,9/2013,3/23/2012,,,,
J404,,unteril gowns paper x 48 & protective plastic gloves x67,No Exp,3/23/2012,,,,
J405,,Exam gloves loose not sterile,No Exp,3/23/2012,,,,
J406,,"boxed exam gloves unterile,sm10,med4,lg4",No exp,3/23/2012,,,,
J407,,Paper gowns unsterile,no exp,4/5/2012,,,,
J408,,Paper gowns unsterile,no exp,4/5/2012,,,,
J409,,185 pr. exam gloves,no exp,4/5/2012,,,,
J410,,175 pr. exam gloves,no exp,4/5/2012,,,,
J411,,200 pr. exam gloves,no exp,4/5/2012,,,,
J412,,Paper gowns unsterile,no exp,4/5/2012,,,,
J413,,175 pr. exam gloves,no exp,4/5/2012,,,,
J414,,Gowns (Sterile),8/2016,4/12/2012,,,,
J415,,Gloves (unsterile),6/2014,4/12/2012,,,,
J416,,13 boxes vinyl gloves (unsterile),No Exp,4/18/2012,Kenya,,,
J417,,12 boxes vinyl gloves (unsterile),No Exp,4/18/2012,Kenya,,,
J418,,12 boxes vinyl gloves (unsterile),No Exp,4/18/2012,Kenya,,,
J420,,13 boxes vinyl gloves (unsterile),No Exp,4/18/2012,Kenya,,,
J421,,13 boxes vinyl gloves (unsterile),No Exp,4/18/2012,,,,
J422,,13 boxes vinyl gloves (unsterile),No Exp,4/18/2012,,,,
J423,,13 boxes vinyl gloves (unsterile),No Exp,4/18/2012,,,,
J424,,12 boxes vinyl gloves (unsterile),No Exp,4/18/2012,,,,
J425,,12 boxes vinyl gloves (unsterile),No Exp,4/18/2012,,,,
J426,,13 boxes vinyl gloves (unsterile),No Exp,4/18/2012,,,,
J427,,12 boxes vinyl gloves (unsterile),No Exp,4/18/2012,,,,
