Box Number,Box Size & Weight,Contents,Exp. date,Date entered,Reserved For,Shipped To,Date Shipped,
L2,,Drapes (Unsterile),,Clinton,,,,
L8,,Paper Drapes,4,Clinton,,,,
L10,,Underpads,,Clinton,,,,
L44,,Drapes (Unsterile),,Clinton,,,,
L75,,Drapes (Unsterile) & Split Sheets,no exp,Clinton,,,,
L80,,Drapes (Unsterile),,Clinton,Bamba,,,
L83,,Drapes (Unsterile),,Clinton,Bamba,,,
L84,,"Drapes (Paper, Unsterile)",,Clinton,FJK/Rev. Neba,,,
L85,,"Drapes (Paper, Unsterile)",,Clinton,FJK/Rev. Neba,,,
L86,,"Drapes (Paper, Unsterile)",,Clinton,,,,
L87,,"Drapes (Paper, Unsterile)",,Clinton,,,,
L92,,Drapes (Unsterile),,Clinton,,,,
L97,,Drapes (Paper),,Clinton,,,,
L99,,Paper Drapes,NA,Clinton,,,,
L102,,"Drapes (Paper, Unsterile)",NA,Clinton,,,,
L106,,"Drapes (Paper, Unsterile)",NA,Clinton,,,,
L110,,"Drapes (Paper, Unsterile)",24,Clinton,,,,
L111,,"Drapes (Paper, Unsterile)",,Clinton,,,,
L112,,"Drapes (Paper, Unsterile)",No Exp,Clinton,,,,
L114,,"Drapes (Paper, Unsterile)",,Clinton,,,,
L115,,"Drapes (Paper, Unsterile)",no exp,Clinton,,,,
L116,,"Drapes (Paper, Unsterile)",,Clinton,,,,
L141,,Drapes (Paper),,Clinton,,,,
L180,,"Drapes (Paper, Unsterile)",24,Clinton,,,,
L182,,"Drapes (Paper, Unsterile)",30,Clinton,,,,
L183,,"Drapes (Paper, Unsterile)",30,Clinton,,,,
L184,,"Drapes (Paper, Unsterile)",26,Clinton,,,,
L185,,"Drapes (Paper, Unsterile)",28,Clinton,,,,
L186,,"Drapes (Paper, Unsterile)",35,Clinton,,,,
L191,,Drapes (Unsterile),21,Clinton,,,,
L205,,"Drapes (Paper, Unsterile)",36,Clinton,,,,
L206,,"Drapes (Paper, Unsterile)",26,Clinton,,,,
L207,,"Drapes (Paper, Unsterile)",34,Clinton,,,,
L211,,"Drapes (Paper, Unsterile)",37,Clinton,,,,
L212,,"Drapes (Paper, Unsterile)",34,Clinton,,,,
L213,,"Drapes (Paper, Unsterile)",32,Clinton,,,,
L214,,"Drapes (Paper, Unsterile)",86,Clinton,,,,
L215,,"Drapes (Paper, Unsterile)",50,Clinton,,,,
L217,,"Drapes (Paper, Unsterile)",30,Clinton,,,,
L218,,"Drapes (Paper, Unsterile)",34,Clinton,,,,
L222,,"Drapes (Paper, Unsterile)",30,Clinton,,,,
L224,,"Drapes (Paper, Unsterile)",30,Clinton,,,,
L225,,Towels & Barriers (Sterile),300,Clinton,,,,
L229,,"Drapes (Paper, Unsterile)",30,Clinton,,,,
L230,,"Drapes (Paper, Unsterile)",30,Clinton,,,,
L231,,"Drapes (Paper, Unsterile)",40,Clinton,,,,
L232,,"Drapes (Paper, Unsterile)",39,Clinton,,,,
L234,,"Drapes (Paper, Unsterile)",24,Clinton,,,,
L235,,"Drapes (Paper, Unsterile)",27,Clinton,,,,
L236,,"Drapes (Paper, Unsterile)",,Clinton,,,,
L238,,"Drapes (Paper, Unsterile)",35,Clinton,,,,
L240,,"Drapes (Paper, Unsterile)",25,Clinton,,,,
L241,,"Gowns (Paper, Unsterile)",,Clinton,,,,
L242,,"Drapes (Paper, Unsterile)",,Clinton,,,,
L243,,"Sheets (Plastic, Unsterile)",,Clinton,,,,
L248,,Drapes (Unsterile),36,Clinton,,,,
L249,,Drapes,28,Clinton,,,,
L250,,Drapes,25,Clinton,,,,
