Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
R2,L - ??,Respiratory Tubing,,Clinton,,,,x
R10,L - ??,Ventilator Tubing,,Clinton,,,,x
R15,L - ??,Ventilator Tubing,,Clinton,,,,x
R20,L - ??,Respiratory Tubing,,Clinton,,,,x
R21,L - ??,"Respiratory Tubing, Straight, Tubing Conviction",,Clinton,,,,x
R24,L - ??,??,,,,,,x
R32,L - ??,Respiratory Tubing,,Clinton,,,,x
R34,L - ??,Guide Wires,,Clinton,,,,x
R35,L - ??,Respiratory Tubing,,Clinton,,,,x
R36,L - ??,Oxygen Tubing (Flexible),,Clinton,,,,x
R42,L - ??,Vascular Mix (Ganz),,Clinton,,,,x
R45,L - ??,Respirigard & Ventilator Tubing,,Clinton,,,,x
R47,L - ??,Respiratory Tubing,,Clinton,,,,x
R183,L - 11 lbs.,Trach Tubes & Supplies; 35 Trach Care Kits,9/2014,Clinton (Updated 12/24/12),,,,x
R185,L - ??,Sputum Collectors x67,No EXP,10/4/2011,,,,x
R188,L - ??,Sputum Collectors x72,No EXP,10/4/2011,,,,x
R199,L - ??,94 Plastic Tubing,No EXP,,,,,x
R200,L - ??,Trach Clean Trays x36; Trach Kits x4,01/2015,1/2/2012,,,,x
R201,L - ??,40 LMAs,3/2014,2/13/2012,,,,x
R203,L - ??,40 LMAs,3/2014,2/13/2012,,,,x
R206,L - ??,40 LMAs,4/2013,2/13/2012,,,,x
R207,L - ??,80 Suction Connective Tubes; 6 Yankauer Connectors,11/2015,2/28/2012,,,,x
R208,L - ??,Misc. Trach Supplies,,,,,,x
R210,L - 14 lbs.,Trach Supplies: Misc. Trach Supplies x5; Trach Tubes x177; LMA x40,4/2014,2/28/2012 (Updated 12/24/12),,,,x
R212,L - ??,Respiratory Mix,3/2014,3/1/2012 (Updated 1/21/13),,,,x
R213,L - 12 lbs.,Anesthesia Mix: 8 Blood Gas Kits; 1 box 2-Step Adapters; 18 ET Tube Holders; Oxy-probe Finger Probes; 5 pkg. Hypotherm Gloves; 6 pillows w/ Intubation Slot; 2 Intubation Stylettes,4/2014,3/1/2012 (Updated 12/24/12),,,,x
R214,S - ??,Trach Care Kits x26 (Sterile),No EXP,3/7/2012,,,,x
R215,S - ??,Trach Care Kits x26 (Sterile),No EXP,3/7/2012,,,,x
R216,S - ??,Trach Care Kits x26 (Sterile),No EXP,3/7/2012,,,,x
R219,L - ??,Ambu Bags (Adult),No EXP,3/23/2012,,,,x
R220,L - ??,Flexible Oxygen Tubing,No EXP,4/5/2012,,,,x
R221,L - ??,Adult Ambu Bags,No EXP,4/12/2012,,,,x
R222,L - ??,Trach Supplies (Sterile),01/2014,5/18/2012,,,,x
R223,L - ??,Trach Supplies (Sterile & Unsterile),01/2014,5/18/2012,,,,x
R224,L - ??,Trach Supplies (Sterile & Unsterile),01/2014,5/18/2012,,,,x
R225,L - ??,Oxygen Tubing (Various Sizes),No EXP,5/18/2012,,,,x
R226,L - ??,Respiratory,No EXP,5/18/2012,,,,x
R227,L - ??,Trach Supplies,2/2015,6/20/2012,,,,x
R228,L - ??,Adult Ambu Bags,No EXP,6/20/2012,,,,x
R230,L - ??,Trach Supplies,No EXP,7/3/2012,,,,x
R231,L - ??,Ambu Bags (Pediatric) x26,No EXP,8/13/2012,,,,x
R232,L - 22 lbs.,Respiratory Tubing Mix,No EXP,9/18 /2012,,,,x
R233,L - 25 lbs.,16 Ambu Bags,No EXP,9/18/2012,,,,x
R234,S - 10 lbs.,46 Pediatric Oxygen Masks,No EXP,9/28/2012,,,,x
R235,L - 8 lbs.,46 Tracheostomy Care Kits,No EXP,9/28/2012,,,,x
R236,L - 13 lbs.,12 Adult Ambu Bags,No EXP,10/1/2012,,,,x
R237,L - 19 lbs.,25 Pediatric Ambu Bags,No EXP,10/1/2012,,,,x
R238,L - 17 lbs.,Tracheostomy Tubes Assorted,2/2015,10/12/2012,,,,x
R241,L - 9 lbs.,Tracheostomy Care Kits x55,9/2015,10/12/2012,,,,x
R242,L - 10 lbs.,Tracheostomy Supplies,6/2015,10/12/2012,,,,x
R243,L - 15 lbs.,Ambu Bags: Adult x10; Masks x6; Infant/Ped. x4,No EXP,10/18/2012,,,,x
R245,L - 12 lbs.,Anesthesia Mix,1/2014,10/24/2012,,,,x
R246,L - 10 lbs.,"Anesthesia Head Rests 7"" w/ Intubation Slot x15",No EXP,10/31/2012,,,,x
R247,L - 14.5 lbs.,Ventilators (9); Smoke Evacuator (24); Tubing,No EXP,10/31/2012,,,,x
R248,L - 11.5 lbs.,Anesthesia Mix: Head Rest Pillows (8); EKG Electrodes; Foam Wraps (120); Pudendal Block Trays (7),No EXP,11/2/2012,,,,x
R249,L - 11.5 lbs.,Tubing: Ventilator/Corrugated,No EXP,,,,,x
R250,L - 13 lbs.,Anesthesia: Endotracheal Tubes x92; LMA x9; Stylettes x15,No EXP,11/19/2012,,,,x
R250,L - ??,"Endotrach., LMA, Stylette",,,,,,x
R251,L - ??,Anesthesia Masks x18; Breathing Circuits x18,No EXP,11/27/2012,,,,x
R252,L - 17 lbs.,19 Respiratory Adult Ventilatory Circuit Tubing,No EXP,11/27/2012,,,,x
R253,S - 33.5 lbs.,"Esmark (Sterile) 6""x19 - 4""x23 & (Unsterile) 4""x61",No EXP,12/6/2012,,,,x
R254,S - 29.5 lbs.,"Esmark (Unsterile) 6""x45 - 4""x24",No EXP,12/6/2012,,,,x
R255,L - 13.5 lbs.,Anesthesia Mix: Corrugated Tubing; 1 Spinal Tray; 1 Headrest; 6 Masks; etc.,5/2014,12/6/2012,,,,x
R256,L - 15 lbs.,20   Ventilator Tubing,No EXP,12/6/2012,,,,x
R257,L - 11 lbs.,Anesthesia Mix: Corrugated Tubing; 3 Head Rests; 10 SpO2 Sensors; 2 Circuits,5/2014,12/6/2012,,,,x
R258,L - 14 lbs.,12 Anesthesia Mix (Unsterile),No EXP,,,,,x
R259,L - 12.5 lbs.,"102 Endotracheal Tubes, 11 LMAs, 20 Airways (Sterile & Unsterile)",2/2017,12/27/2012,,,,x
R260,L - 12 lbs.,Ventilator Tubing x14 (Unsterile),No EXP,1/4/2013,,,,x
R261,L - 13 lbs.,"Anesthesia Masks x104, Circuits x3 (Unsterile)",No EXP,1/4/2013,,,,x
R263,L - 12.5 lbs.,Anesthesia Mix,6/2016,1/8/2013,,,,x
R264,L - 9 lbs.,Blue Corrugated Respiratory Tubing,No EXP,1/11/2013,,,,x
R265,L - 21 lbs.,Anesthesia Breathing Circuit (Unsterile),No EXP,1/11/2013,,,,x
R266,L - 10 lbs.,Tubing Corrugated,No EXP,1/18/2013,,,,x
R267,L - 13 lbs.,Anesthesia Mix: Head Rests; Hauge Airways; SpO2 & EKG Pads; Arterial Pressure Tubing,8/2014,1/18/2013,,,,x
R268,L - 19 lbs.,Anesthesia Circuits/Bags x22,No EXP,2/6/2013,,,,x
R270,L - 14 lbs.,"Anesthesia Mix: Circuit Tubing, Positioning Devices",5/2015,2/7/2013,,,,x
