Box #,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
A40,L - ??,Otoscope Tips,No EXP,1/18/2012,,,
A45,L - ??,Dental Mix,1/2015,3/23/2012,Anastasiya,,
A46,S - ??,Dental Exam Capes,No EXP,5/23/2012,Anastasiya,,
A47,S - ??,Dental Exam Capes,No EXP,5/23/2012,Anastasiya,,
-----
A49,L - 23.0 lbs.,OB/GYN Supplies ,1/2014,10/21/2012,,3rd Sort,
A51,S - 7.0 lbs.,Pediatric Multivent Oxygen Masks,No EXP,10/25/2012,Anastasiya,,
A56,S - 6.0 lbs.,OB/GYN: Sterile Swabs ,3/2016,10/31/2012,,,
A57,S - 6.5 lbs.,OB/GYN: Sterile Swabs ,11/2016,10/31/2012,,,
A58,S - 8.0 lbs.,OB/GYN: Sterile Swabs (~2000) ,8/2016,10/31/2012,,,
A63,L - 17.0 lbs.,Pediatric Diapers (Preemie & Small),No EXP,11/19/2012,Anastasiya,,
A64,L - 16.5 lbs.,23 Pediatric Breathing Circuits,No EXP,11/26/2012,Anastasiya,,
A66,L - 23.0 lbs.,Pediatric Mix,No EXP,12/3/2012,Anastasiya,,
A67,S - 7.0 lbs.,46 Plastic Vaginal Speculums,No EXP,12/6/2012,,,
A68,L - 14.0 lbs.,Pediatric Diapers: Preemie Size 1,No EXP,12/14/2012,Anastasiya,,
A69,L - 22.0 lbs.,Pediatric Supplies: Trays; OR Shoes; Endotracheal Tubes; etc.,12/2015,12/14/2012,Anastasiya,,
A70,L - 29.0 lbs.,Diapers: Preemie & Pediatric,No EXP,1/4/2013,Anastasiya,,
A72,L - 23.0 lbs.,Pediatric Supplies: 100 Electrodes; 50 O2 Probes; 25 Feeding Syringes; etc.,No EXP,1/8/2013,Anastasiya,,
A73,L - 18.0 lbs.,OB/Gyn Mix: Umbilical clamps; Cord Blood Collection,5/2015,1/28/2013,Anastasiya,,
A74,L - 22.4 lbs.,OB Pads (Incontinence & Postpartum) ~300; 1 Bag Misc. Pads,No EXP,1/28/2013 [Updated 7/29/2013],,,
A76,L - 22.0 lbs.,Pediatric Supplies: Chest Drains; Circumsion Kits; Respiratory Mix,8/2015,1/28/2013,Anastasiya,,
A78,L - 19.0 lbs.,Pediatric Diapers,No EXP,2/7/2013,Anastasiya,,
A79,L - 16.0 lbs.,OB Speculums x94,No EXP,3/5/2013,,,
A81,L - 18.0 lbs.,Pediatic Supplies: Respiratory; Cardiac; IV,No EXP,3/15/2013,Anastasiya,,
A83,S - 8.5 lbs.,OB/GYN Mix: Vaginal Swabs,11/2016,3/15/2013,,,
A84,S - 7.0 lbs.,Vaginal Speculums (Disposable): Med. x35; Lg. x15,No EXP,4/1/2013,,,
A85,L - 23.0 lbs.,100 Pediatric O2 Masks w/ Tubing,No EXP,4/26/2013,Anastasiya,,
A86,L - 27.0 lbs.,Nebulizers: 100 Pediatric Sets,No EXP,4/26/2013,Anastasiya,,
A87,S - 17.0 lbs.,Vaginal Speculums: 40 Metal; 15 Disposable,No EXP,4/26/2013,,,
A88,L - 14.4 lbs.,Pediatric Suction Catheters,No EXP,5/13/2013,Anastasiya,,
A89,L - 22.4 lbs.,Pediatric Supplies: Circumsion Trays; ET Tubes; LMAs; Masks; Colostomy Supplies,No EXP,6/3/2013,Anastasiya,,
A90,L - 15.6 lbs.,Pediatric Supplies,No EXP,6/3/2013,Anastasiya,,
A91,L - 17.0 lbs.,Pediatric Supplies: Bottles; Nipples; Breast Milk Containers; Dosing Syringes,5/2016,7/11/2013,Anastasiya,,
A92,L - 28.0 lbs.,Pediatric Supplies: Respiratory; ID Bands; Urinary; Feeding Tubes,10/2016,7/11/2013,Anastasiya,,
A93,L - 15.6 lbs.,Pediatric Cardiac Surgical Pack Parts A & B (Sterile),1/2015,7/11/2013,Anastasiya,,
A94,L -  20.0 lbs.,Pediatric Diapers,No EXP,8/7/2013,Anastasiya,,
A95,L - 30.2 lbs.,OB/GYN Mix,08/2015,8/7/2013,,,
A96,L - 10.6 lbs.,OB/GYN: Disposable Briefs; VP III Swabs,10/2017,8/7/2013,,,
A97,L - 20.8 lbs.,Vaginal Speculums (Disposable),No EXP,8/7/2013,,,
A98,S - 19.2 lbs.,Vaginal Speculums (Metal),No EXP,8/7/2013,,,
A99,L - 18.8 lbs.,Pediatric Diapers,No EXP,9/16/2013,Anastasiya,,
A100,L - 19.6 lbs.,OB Pads,No EXP,9/27/2013,,,
A101,L - 28.6 lbs.,Pediatric Suction & Kits; Misc. Ped. Supplies,9/2015,9/29/2013,Anastasiya,,
A103,L - 21.2 lbs.,Pediatric Respiratory Supplies,9/2015,9/29/2013,Anastasiya,,
A104,L - 25.4 lbs.,"Pediatric Chest Drains: 8 Dry Suction, Water Seal Drains; 8 Extra Drain Tubing",12/2016,10/1/2013,Anastasiya,,
A105,L - 25.2 lbs.,"Pediatric Chest Drains: 8 Dry Suction, Water Seal Drains; 8 Extra Drain Tubing",12/2016,10/1/2013,Anastasiya,,
A106,L - 25.4 lbs.,"Pediatric Chest Drains: 8 Dry Suction, Water Seal Drains; 8 Extra Drain Tubing",10/2016,10/1/2013,Anastasiya,,
A107,L - 25.4 lbs.,"Pediatric Chest Drains: 8 Dry Suction, Water Seal Drains; 8 Extra Drain Tubing",6/2016,10/1/2013,Anastasiya,,
A108,L - 25.4 lbs.,"Pediatric Chest Drains: 7 Dry Suction, Water Seal Drains; 1 Water Seal Drain; 8 Extra Drain Tubing",3/2016,10/1/2013,Anastasiya,,
A109,L - 25.2 lbs.,"Pediatric Chest Drains: 8 Dry Suction, Water Seal Drains; 8 Extra Drain Tubing",12/2015,10/1/2013,Anastasiya,,
A110,L - 19.6 lbs.,Pediatric Diapers,No EXP,10/28/2013,Anastasiya,,
A114,S - 5.6 lbs.,Pediatric Tracheostomy Masks,No EXP,11/22/2013,Anastasiya,,
A115,L - 18.0 lbs.,"Pediatric Electrodes, O2 Masks & Cannulas",3/2015,11/25/2013,Anastasiya,,
A116,L - 23.6 lbs.,Pediatric: O2 Masks; Trach. Masks; Nasal Cannulas; Chest Drain Kits (2),8/2016,11/25/2013,Anastasiya,,
A117,L - 29.0 lbs.,Pediatric Diapers and Wipes,5/2016,11/25/2013,Anastasiya,,
A118,L - 18.4 lbs.,Pediatric Ventilator Circuits; Tracheostomy Tubes; Nipples; O2 Masks,10/2015,11/25/2013,Anastasiya,,
A119,L - 18.6 lbs.,Vaginal Speculums with Light Source: 55 Medium; 53 Small,No EXP,1/14/2014,,,
A120,S - 7.8 lbs.,Vaginal Speculums (Disposable): 42 XS; 10 Small,No EXP,1/14/2014,,,
A122,L - 16.8 lbs.,Diapers (Pediatric): Preemie; Toddler,No EXP,1/28/2014,Anastasiya,,
A123,L - 15.2 lbs.,Diapers (Pediatric),No EXP,2/10/2014,Anastasiya,,
A124,L - 19.8 lbs.,OB Pads,No EXP,2/10/2014,,,
A125,L - 14.8 lbs.,Pediatric Mix: Bottles; Nipples; Feeding Tubes; IV Sets; Etc.,No EXP,3/4/2014,Anastasiya,,
A126,L - 24.0 lbs.,Pediatric Supplies: Respiratory,9/2016,3/4/2014,Anastasiya,,
A127,L - 14.6 lbs.,Pediatric Supplies: Urinary Catheters,4/2016,3/4/2014,Anastasiya,,
A128,L - 18.6 lbs.,Pediatric Supplies: Bottles; 100 Nipples; 74 Medicine Droppers; 52 Formula Bottles; Ostomy; Feeding Tubes,10/2015,3/31/2014,Anastasiya,,
A129,L - 26.2 lbs.,Pediatric Supplies: Ventilator Circuits; Ambu Bags; Masks; Electrodes; Bulb Syringes; Etc.,1/2015,3/31/2014,Anastasiya,,
A130,L - 22.8 lbs.,Pediatric Supplies: Respiratory Mix; Ventilator Circuits; Masks; Etc.,5/2015,3/31/2014,Anastasiya,,
A131,L - 21.6 lbs.,Pediatric Supplies: Chest Drain; Craniotomy Drape Kit; Slings; Foot Immobilizers; Etc.,10/2015,3/31/2014,Anastasiya,,
A132,L - 21.6 lbs.,Pediatric Supplies: Suction Catheters; Urinary Catheters; Umbilical Cups; Umbilical Cord Clamps; Measuring Tapes; Masks; Blankets,2/2015,3/31/2014,Anastasiya,,
A133,L - 20.4 lbs.,Vaginal Speculums (Disposable): Med. x75; Lg. x40,No EXP,4/12/2014,,,
A134,L - 17.2 lbs.,Pediatric Diapers,No EXP,4/12/2014,Anastasiya,,
A135,L - 22.6 lbs.,Vaginal Speculums (Disposable): Med. x90; Lg. x40,No EXP,4/19/2014,Fairland,,
A136,L - 21.8 lbs.,Vaginal Speculums (Disposable): Med. x110; Lg. x20,No EXP,4/19/2014,,,
A137,L - 20.4 lbs.,Vaginal Speculums (Disposable): Lg. x170,No EXP,4/19/2014,,,
A138,L - 19.8 lbs.,Vaginal Speculums (Disposable): Lg. x170,No EXP,4/19/2014,,,
A139,L - 11.2 lbs.,Pediatric Supplies: Chest Suction Kits; SpO2 Adhesive Spirometer; Ambu Bags; O2 Masks and Tubing,5/2017,4/24/2014,Anastasiya,,
A140,L - 22.6 lbs.,OB/GYN Mix: Vaginal Irrigation; Peri-Bottles; Breast Care; Temp. Sensors; Loop Electrodes; Q-Tip Applicators; Coagulation Electrodes,No EXP,4/24/2014,,,
A141,S - 10.6 lbs.,Vaginal Speculums: Plastic x33; Metal x10,No EXP,5/18/2014,,,
A142,S - 7.4 lbs.,Vaginal Speculums: Small x24; Large x38,No EXP,5/18/2014,,,
A143,S - 8.4 lbs.,Vaginal Speculums,No EXP,5/18/2014,,,
A144,L - 16.6 lbs.,Pediatric Diapers: Preemie Sizes,No EXP,5/18/2014,,,
