Box Number,Box Size & Weight,Contents,Expiration Date,Date Entered,Reserved For,Shipped To,Date Shipped
AA149,L - 16.0 lbs.,20cc. Syringes,,Clinton,Abshiro,3rd Sort,
AA195,L - ??,3 cc. Syringes,,Clinton,Abshiro,3rd Sort,
 AA222,L - ??,Unsterile Syringes (Assorted Sizes),No EXP,12/13/2011,Abshiro,,
AA223,L - ??,Dosing Syringes x400,No EXP,12/22/2011,Polyclinique,Polyclinique,
AA224,L - ??,Approx. 400 20 & 60cc. Dosing Syringes,No EXP,12/22/2011,Polyclinique,Polyclinique,
AA226,S - ??,Oral Dressing Syringes,No EXP,1/4/2012,Polyclinique,Polyclinique,
AA229,L - ??,900 Unsterile Syringes (Assorted Sizes),No EXP,1/18/2012,Abshiro,,
AA230,L - ??,20-60cc. Sterile Irrigation Syringes,1/2016,1/27/2012,Polyclinique,Polyclinique,
AA235,L - ??,60cc. Syringes (Sterile): 180 w/ Catheter Tip,No EXP,2/16/2012,Polyclinique,Polyclinique,
AA236,L - ??,60cc. Syringes (Sterile): 180 w/ Catheter Tip,No EXP,2/16/2012,Polyclinique,Polyclinique,
AA241,L - ??,Various Syringes,No EXP,5/18/2012,Abshiro,,
AA242,S - ??,12cc. Syringes x320,No EXP,6/20/2012,Polyclinique,Polyclinique,
AA244,L - ??,Syringes (Unsterile): Assorted Sizes,No EXP,6/20/2012,Abshiro,,
AA248,L - 29.0 lbs.,60cc. Syringes (Unsterile) x375,No EXP,10/5/2012,Abshiro,,
AA253,L - 19.5 lbs.,3cc. Sterile Syringes,No EXP,10/10/2012,Polyclinique,Polyclinique,
AA254,L - 20.0 lbs.,1cc. Tuberculin Slip-Tip Syringes x2370,No EXP,10/10/2012,Polyclinique,Polyclinique,
AA255,S - 15.5 lbs.,"Sterile Syringes 3cc. w/ 23Gx1"" Needle x800",No EXP,10/10/2012,Polyclinique,Polyclinique,
-----
