Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
C32,L - ??,Urine Collection (24 hour) x17,No EXP,Clinton,Lotus Victory,,
C83,L - ??,"Texas Catheters: 184 Lg., 319 Med., 6 Sm., 87 23mm.; 5 Urinary Drainage Bags; 4 Catheter Trays",10/2014,Clinton,Polyclinique,3rd Sort,
C125,L - ??,70 Cysto Irrigation Sets (Single/Double),,Clinton,Lotus Victory,3rd Sort,
C357,L - ??,Urinary Drainage Bags,No EXP,1/12/2012,Polyclinique,,
C362,L - ??,10 Sterile Cystoscopy Irrigantion Sets; 20 Sterile Irrigation Spike Adaptors; 100 Condom Catheters; 10 Sterile Piston Irrigation Trays,No EXP,1/18/2012,Lotus Victory,,
C369,L - ??,Misc. Urine Collection ,6/2016,2/22/2012,Lotus Victory,,
C371,L - ??,Urinary Catheters (Assorted Sizes),3/2014,3/7/2012,Polyclinique,3rd Sort,
C372,S - ??,French Self-Catheter Kits x100,2/2014,3/7/2012,Polyclinique,3rd Sort,
C375,L - ??,Urology Mix,7/2013,3/12/2012,Lotus Victory,3rd Sort,
C376,L - ??,Urinary Drainage Bags x52,No EXP,3/12/2012,Polyclinique,,
C377,L - ??,40 Single Hand Breast Pumps; 3 Boxes OB Towelettes,No EXP,3/21/2012,Lotus Victory,,
C381,L - ??,U Cath Kits x25,7/2014,4/30/2012,Polyclinique,3rd Sort,
C382,L - ??,U Cath Kits x48,No EXP,5/7/2012,Polyclinique,,
C383,L - 11.0 lbs.,U Cath Kits x34,4/2014,5/7/2012 (Updated 1/2/13),Polyclinique,3rd Sort,
C384,L - ??,U Cath Trays x38,3/2014,5/7/2012,Polyclinique,3rd Sort,
C385,L - ??,U Cath Trays x38,3/2014,5/7/2012,Polyclinique,3rd Sort,
C387,L - ??,U Cath Trays x22,3/2014,5/7/2012,Polyclinique,3rd Sort,
C389,L - ??,Texas Catheters,No EXP,5/18/2012,Polyclinique,,
C391,L - ??,Urinary Drainage Bags x60,No EXP,5/23/2012,Polyclinique,,
C391,L - ??,Urine Cath Kits - Catheters,???,5/23/2012,Polyclinique,3rd Sort,
C393,S - ??,Urinary Leg Bags w/ Tubing,No EXP,6/20/2012,Polyclinique,,
C394,L - ??,Urinary Catheters,2/2015,6/20/2012,Polyclinique,,
C395,L - ??,Self-Catherization Supplies,9/2014,6/20/2012,Polyclinique,3rd Sort,
C398,L - ??,Urinary Drainage Bags x55; Texas Catheters x200,1/2014,7/3/2012,Polyclinique,3rd Sort,
C399,L - ??,Catheters: 65 Texas; 350 Self-Cath; 80 Foley,7/2014,7/16/2012,Polyclinique,3rd Sort,
C402,L - 14.0 lbs.,Catheter Tray Kits (Sterile),8/2014,9/13/2012,Polyclinique,3rd Sort,
C404,L - 13.0 lbs.,U-Cath Trays x15,No EXP,9/17/2012,Polyclinique,,
C405,L - 24.0 lbs.,"Urinary Catheters: 16 Texas; 23 Clean; 61 Self, Straight; 332 Sterile Foleys",5/2014,9/18/2012,Polyclinique,3rd Sort,
C407,S - 17.0 lbs.,Under Buttocks Drapes x29,1/2016,9/18/2012,Lotus Victory,,
C409,L - 17.5 lbs.,19 Catheterization Kits,11/2014,9/18/2012,Polyclinique,3rd Sort,
C410,L - 40.0 lbs.,Urethral Catheter Trays,10/2015,9/28/2012,Polyclinique,,
C411,L - 13.0 lbs.,Urinary Catheter Trays: 65 Ped. Foley; 20 Ped. Self-Cath; 2 Foley Cath.,1/2014,9/28/2012,Polyclinique,3rd Sort,
