Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
D153,L - ??,OB/GYN,11/2012,Clinton,,3rd Sort,
D159,L - ??,Lab Supplies,No EXP,1/18/2012,,,
D167,L - ??,Lab Supplies,No EXP,2/27/2012,,,
D169,L - ??,Pipets x6 Boxes of 500,No EXP,3/7/2012,,,
D171,S - ??,Vaginal Swabs,6/2015,3/21/2012,,,
D172,S - ??,Vaginal Swabs,3/2016,3/21/2012,,,
D174,L - ??,"Lab Supplies: Pipets Slides, Specimen Swabs",1/2015,4/30/2012,,,
D175,L - 19.0 lbs.,Vaginal Speculums (Plastic): 19 Bags (100 Medium; 75 Small),No EXP,5/18/2012,,,
D176,S - ??,Biohazard Bags,No EXP,5/18/2012,,,
D177,S - ??,Biohazard Bags,No EXP,5/18/2012,,,
D178,S - ??,Biohazard Bags,No EXP,5/18/2012,,,
D179,S - ??,Biohazard Bags,No EXP,5/18/2012,,,
D180,S - ??,Biohazard Bags,No EXP,5/18/2012,,,
D181,L - ??,Speculums: Metal & Plastic (All Sizes),No EXP,5/18/2012,,,
D182,S - ??,Lab Supplies,No EXP,5/18/2012,,,
D183,L - ??,Lab Supplies,No EXP,5/18/2012,,,
D184,L - ??,Lab Supplies,No EXP,5/18/2012,,,
D185,L - ??,Lab Supplies,No EXP,5/18/2012,,,
D186,L - ??,Lab Supplies,No EXP,5/18/2012,,,
D187,L - ??,Lab Supplies,No EXP,5/18/2012,,,
D188,L - ??,Lab Supplies,No EXP,5/18/2012,,,
D189,L - ??,Lab Supplies,No EXP,5/18/2012,,,
D190,L - ??,Lab Supplies,No EXP,5/18/2012,,,
D191,L - ??,Lab Supplies,No EXP,5/18/2012,,,
D192,L - ??,Lab Supplies,No EXP,5/18/2012,,,
D193,L - ??,Lab Supplies,No EXP,5/23/2012,,,
D194,L - ??,Lab Supplies,No EXP,5/23/2012,,,
D195,L - ??,Lab Supplies,No EXP,5/29/2012,,,
D197,L - ??,Vaginal Speculums,No EXP,7/3/2012,,,
D198,L - ??,OB Pads; Panty Liners; Nursing Pads,No EXP,7/3/2012,,,
D200,L - 24.5 lbs.,OB Pads,No EXP,9/13/2012,,,
D201,L - 22.0 lbs.,OB Pads,No EXP,9/13/2012,,,
-----
D203,L - 20.0 lbs.,Specimen Collection Supplies ,No EXP,10/22/2012,,,
D204,L - 20.0 lbs.,Specimen Collection Supplies ,No EXP,10/22/2012,,,
D205,S - 15.0 lbs.,Biohazard Lab Bags,No EXP,10/22/2012,,,
D211,L - 14.0 lbs.,Specimen Containers,No EXP,12/3/2012,,,
D212,L - 18.0 lbs.,Lab Collection: Assortment,No EXP,1/4/2013,,,
D215,L - 15.0 lbs.,Specimen Containers (Sterile & Unsterile),No EXP,1/11/2013,,,
D224,L - 35.0 lbs.,Lab Supplies,No EXP,6/3/2013,,,
D225,L - 24.2 lbs.,Vacutainer Blood Collections Supplies,5/2015,3/13/2014,,,
D226,L - 22.2 lbs.,Specimen Containers,No EXP,3/24/2014,,,
D227,L - 24.0 lbs.,Lab Supplies: Petri Dishes; Pipette Tips; EZEE Nest Cups; Test Tubes,6/2016,3/27/2014,,,
D228,L - 9.8 lbs.,Specimen Containers (Sterile and Unsterile),No EXP,3/27/2014,,,
D229,L - 30.8 lbs.,Lab Supplies: EZEE Nest Cups; Test Tubes; Biohazard Bags; Slides,No EXP,3/27/2014,,,
D230,L - 12.8 lbs.,Specimen Containers,1/2015,3/31/2014,,,
D231,L - 18.2 lbs.,Blood Collection/Vacutainer Supplies,1/2015,4/9/2014,,,
D232,L - 23.8 lbs.,Blood Collection/Vacutainer Supplies,1/2015,4/9/2014,,,
D233,L - 30.8 lbs.,Blood Collection/Vacutainer Supplies,1/2015,4/9/2014,,,
D234,L - 23.0 lbs.,Blood Collection/Vacutainer Supplies,1/2015,4/9/2014,,,
D235,L - 28.6 lbs.,Blood Collection/Vacutainer Supplies,1/2015,4/9/2014,,,
D236,L - 27.2 lbs.,Blood Collection/Vacutainer Supplies,1/2015,4/9/2014,Fairland,,
D237,L - 27.0 lbs.,Blood Collection/Vacutainer Supplies,1/2015,4/9/2014,,,
D238,L - 37.0 lbs.,Lab Supplies: Pipettes; Slides; Test Tubes,12/2015,4/12/2014,,,
D239,L - 11.0 lbs.,Lab Supplies: Sputum Collectors x70,No EXP,4/19/2014,,,
D240,L - 25.8 lbs.,Blood Collection/Vacutainer Supplies,2/2015,4/24/2014,,,
D241,L - 27.0 lbs.,Blood Collection/Vacutainer Supplies,5/2015,4/24/2014,,,
D242,L - 30.4 lbs.,Lab Supplies: Petri Dishes; Pipets,No EXP,5/7/2014,,,
D243,L - 15.2 lbs.,Specimen Containers,No EXP,5/7/2014,,,
D244,L - 14.2 lbs.,Lab Supplies: Lab Coats; Specimen Containers; Pipets; Etc.,No EXP,5/7/2014,,,
D245,L - 32.8 lbs.,Lab Supplies: Slides; Biohazard Bags; Specimen Sticks; Etc.,5/2015,5/7/2014,,,
