Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
E339,L - ??,Pediatric Diapers: Infant,No EXP,1/18/2012,Anastasiya,,
E353,L - ??,Underpads/Chux (Disposable),No EXP,4/12/2012,,,
E360,L - ??,Pediatric Supplies: 57 Enteral Pump Delivery System; Air Entrainment Mask; 2 Mini Chest Drains; Breathing Circuits,1/2016,4/30/2012,Anastasiya,,
E371,L - ??,Underpads/Chux (Disposable) x20 Packs,No EXP,5/23/2012,,,
E372,L - ??,Underpads/Chux (Disposable) x22 Packs,No EXP,5/23/2012,,,
E373,L - ??,Underpads/Chux (Disposable) x22 Packs,No EXP,5/23/2012,,,
E377,L - ??,Pediatric Diapers,No EXP,5/23/2012,Anastasiya,,
E382,L - ??,Pediatric Supplies: Respiratory Circuits,No EXP,6/20/2012,Anastasiya,,
E416,L - ??,Underpads ,No EXP,7/26/2012,,,
E417,L - ??,Underpads ,No EXP,7/26/2012,,,
E432,L - 25.0 lbs.,Underpads/Chux,No EXP,8/30/2012,,,
E434,L - 25.0 lbs.,Underpads x17 packs,No EXP,8/30/2012,,,
E435,L - 19.0 lbs.,Underpads x12 packs,No EXP,8/30/2012,,,
E439,L - 22.0 lbs.,Underpads,No EXP,9/13 /2012,,,
E440,L - 23.0 lbs.,Underpads,No EXP,9/13/2012,,,
E441,S - 10.0 lbs.,Pediatric Supplies: Oral Syringes & Droppers (0.5ml - 60ml.),No EXP,9/14/2012,Anastasiya,,
E442,L - 18.0 lbs.,Underpads/Chux (Disposable) x16 Pk. of 10,No EXP,9/14/2012,,,
E444,L - 26.0 lbs.,Underpads/Chux,No EXP,9/18/2012,,,
E445,L - 18.0 lbs.,Pediatric Diapers,No EXP,9/28/2012,Anastasiya,,
E446,L - 13.0 lbs.,"22 Burn Dressings (Sterile): 24"" x 36""",12/2015,9/28/2012,,,
E448,L - 14.0 lbs.,22 Burn Dressings (Sterile),12/2015,10/1/2012,,,
E450,L - 15.5 lbs.,Pediatric Diapers: Premie x307; Youth x32,No EXP,10/8/2012,Anastasiya,,
