Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
F14,L - 23.0 lbs.,Warming Device (Bair Hugger),No EXP,Clinton,,,
F91,L - ??,Personal Care,No EXP,10/14/2011,Anastasiya,,
F92,L - ??,99 Anti-Embolism Stockings,No EXP,11/3/2011,,,
F96,L - ??,Personal Care,No EXP,12/13/2011,Anastasiya,,
F100,L - ??,Facial Tissues: 55 Boxes,No EXP,1/11/2012,Anastasiya,,
F101,L - ??,Facial Tissues: 55 Boxes,No EXP,1/11/2012,Anastasiya,,
F110,L - ??,Facial Tissues: 55 Boxes,No EXP,1/11/2012,Anastasiya,,
F111,L - ??,Facial Tissues: 55 Boxes,No EXP,1/11/2012,Anastasiya,,
F117,L - ??,Facial Tissues: 55 Boxes,No EXP,1/11/2012,Anastasiya,,
F118,L - ??,Facial Tissues: 55 Boxes,No EXP,1/11/2012,Anastasiya,,
F119,L - ??,Facial Tissues: 55 Boxes,No EXP,1/11/2012,Anastasiya,,
F121,L - 10.0 lbs.,Toothettes,No EXP,1/27/2012,Anastasiya,,
F122,L - ??,Patient Care: Abd. Binders; Come Castile Soap,No EXP,2/3/2012,Anastasiya,,
F123,L - ??,Personal Care,No EXP,2/27/2012,Anastasiya,,
F124,L - ??,"Oral Care: Suction Tubing, Catheters, Mouth Swabs",No EXP,2/28/2012,Anastasiya,,
F127,L - ??,Fixodent Toothpaste,No EXP,3/21/2012,Anastasiya,,
F128,L - ??,Assorted Personal Care Supplies,No EXP,4/17/2012,Anastasiya,,
F129,L - ??,"Personal Care: Towelettes; 4 Cushions; 1 Range of Motion Exerciser; Medicine Cups, Shower Caps",No EXP,4/30/2012,Anastasiya,,
F132,L - ??,Bladder Control Pads; Soap; Razors; Powder,No EXP,4/30/2012,Anastasiya,,
F133,L - ??,Patient Lift Pads x3; Wheelchair Pads x2,No EXP,5/7/2012,Anastasiya,,
F134,S - ??,Nail Brushes x3 Boxes,No EXP,5/18/2012,Anastasiya,,
F135,S - ??,Hair Combs,No EXP,5/18/2012,Anastasiya,,
F136,S - ??,Hair Combs,No EXP,5/18/2012,Anastasiya,,
F137,S - ??,Nail Brushes x2; Deodorant x60,No EXP,5/18/2012,Anastasiya,,
F138,S - ??,"Mouth Wash, Lotion, Deodorant",No EXP,5/23/2012,Anastasiya,,
F139,S - ??,200+ Black Plastic Hair Combs,No EXP,6/20/2012,Anastasiya,,
F140,S - ??,200+ Black Plastic Hair Combs,No EXP,6/20/2012,Anastasiya,,
F141,S - ??,Shampoo Caps,No EXP,6/20/2012,Anastasiya,,
F142,L - ??,Personal Care Supplies,No EXP,7/16/2012,Anastasiya,,
F146,S - ??,Shampoo Caps; Shower Caps,No EXP,10/5/2012,Anastasiya,,
F151,S - ??,"Assorted Orthotics: Heel, Toe, Shoe",No EXP,10/8/2012,Anastasiya,,
F152,S - 16.0 lbs.,Personal Care,No EXP,10/17/2012,Anastasiya,,
F153,S - 9.0 lbs.,Personal Care,No EXP,10/17/2012,Anastasiya,,
F154,L - 35.0 lbs.,Patient Care: Misc.,No EXP,10/17/2012,,,
-----
F155,L - 15.5 lbs.,Eye Care: Pads; Shields; Spears; Charts; Irrigators,6/2015,1/4/2013,,,
F155,L - 25.2 lbs.,Personal Care: Mix,No EXP,1/4/2013,Anastasiya,,
F156,L - 27.0 lbs.,Opthamalic Surgery: Eye Cannulas; Sponges; Dressings; Irrigators; Eye Pack; B&L Lens Delivery,6/2015,1/4/2013,,,
F157,S - 4.0 lbs.,Eye Pads and Shield,9/2017,4/1/2017,,,
F158,S - 4.0 lbs.,Eye Pads,6/2017,4/1/2013,,,
F159,S - 9.8 lbs.,Dental Bibs,No EXP,8/12/2013,Anastasiya,,
F160,S - 11.4 lbs.,Dental Bibs,No EXP,8/12/2013,Anastasiya,,
F161,L - 29.0 lbs.,Dental Supplies,No EXP,11/22/2013,Anastasiya,,
F162,L - 22.8 lbs.,ENT: Ear Wash System; Ear Curettes; Nasal Speculum; Misc. Supplies; Ear Speculum,07/2015,11/22/2013,Fairland,,
F163,S - 8.6 lbs.,Ear Speculums: All Sizes,No EXP,11/22/2013,,,
F164,L - 31.0 lbs.,Dental Surgery,4/2015,4/24/2014,Anastasiya,,
