Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
G20,L - 20.0 lbs.,Cast Boots (Ortho),No EXP,Clinton,Anastasiya,,
G38,L - ??,Foam,No EXP,Clinton,,,
G40,L - 11.0 lbs.,Ortho Immobilizers / Wrist Splints,No EXP,Clinton,Anastasiya,,
G125,L - 18.0 lbs.,13 Ankle Contracture Boots,No EXP,Clinton,Anastasiya,,
G137,L - ??,8 Head Rests with Side Slot,No EXP,Clinton,Anastasiya,,
G221,L - ??,Foam,No EXP,Clinton,,,
G241,L - ??,Heel Protectors,No EXP,11/16/2011,Anastasiya,,
G242,L - ??,Immobilizers,No EXP,11/16/2011,Anastasiya,,
G243,L - ??,Immobilizers,No EXP,11/18/2011,Anastasiya,,
G245,L - ??,Knee Immobilizers; Low Wrist Spints; Slings,No EXP,,Anastasiya,,
G247,L - ??,Back Supporters; Cervical Collars,No EXP,,Anastasiya,,
G248,L - ??,Immobilizers: Cervical Collars; Boots; Slings,No EXP,1/17/2012,Anastasiya,,
G250,L - ??,10 Foam,No EXP,1/18/2012,,,
G252,L - ??,1 Knee Brace; 6 Cervical Collars; 6 Arm Slings; 1 Back Brace,No EXP,2/13/2012,Anastasiya,,
G253,L - ??,Positioning Foam,No EXP,2/20/2012,Anastasiya,,
G254,L - ??,"Wrist Splints, Surgical Shoes, Cervical Collar, Knee Immobilizer, EZ Boots, Heel Booties, Knee Abductor Pillow, Jobst Stocking",No EXP,2/27/2012,Anastasiya,,
G256,L - ??,Immobilizers: Cervical Collars; Slings; Knee Braces,No EXP,2/28/2012,Anastasiya,,
G257,L - ??,Elbow/Heel Protectors,No EXP,2/28/2012,Anastasiya,,
G259,L - ??,Foam: 2 Carter Pillows,No EXP,3/12/2012,,,
G260,L - ??,Immobilizers: Cast Shoes; Cervical Collars; Slings,No EXP,3/12/2012,Anastasiya,,
G261,L - ??,Immobilizers: Knee; Cervical Collars,No EXP,3/12/2012,Anastasiya,,
G262,L - ??,Immobilizers: Assorted,No EXP,3/23/2012,Anastasiya,,
G263,L - ??,"Immobilizers: Knee, Wrist, Cervical",No EXP,3/23/2012,Anastasiya,,
G264,L - ??,Immobilizers: Knee; Foot; Shoulder,No EXP,4/12/2012,Anastasiya,,
G265,L - ??,2 Leg/Foot Brace; 1 Mini Foot Brace; 3 Arm Component w/ Stress Ball,No EXP,4/23/2012,Anastasiya,,
G267,L - ??,Immobilizers: Knee; Foot; Neck; Wrist Sling,No EXP,4/30/2012,Anastasiya,,
G268,L - ??,Soft Boot x12; Heel Protector x13,No EXP,5/7/2012,Anastasiya,,
G269,L - ??,Foam x5,No EXP,5/7/2012,Anastasiya,,
G270,L - ??,Soft Boot x50,No EXP,5/7/2012,Anastasiya,,
G271,L - ??,Soft Boot x50,No EXP,5/7/2012,Anastasiya,,
G272,L - ??,Cervical Collars x20,No EXP,5/7/2012 (Updated 12/24/12),Anastasiya,,
G273,L - ??,Cervical Collars x19,No EXP,5/7/2012,Anastasiya,,
G274,L - ??,Cervical Collars x25; Knee Brace x1; Foot Boot x7; Ankle x2,No EXP,5/18/2012,Anastasiya,,
G275,L - ??,Cervical Collars x63,No EXP,5/18/2012,Anastasiya,,
G276,L - ??,Cervical Collars x63,No EXP,5/18/2012,Anastasiya,,
G277,L - ??,Cervical Collars x56,No EXP,5/18/2012,Anastasiya,,
G278,L - ??,Cervical Collars x61,No EXP,5/18/2012,Anastasiya,,
G279,L - ??,Ortho Supplies,No EXP,5/23/2012,Anastasiya,,
G280,L - ??,Immobilizers: 3 Knee; 10 Back Braces; 15 Arm Slings; Walking Boot,No EXP,5/23/2012,Anastasiya,,
G281,L - ??,Assorted Foam Pieces,No EXP,5/29/2012,Anastasiya,,
G282,L - ??,Various Immobilizers,No EXP,6/20/2012,Anastasiya,,
G283,L - ??,Knee Immobilizers,No EXP,6/20/2012,Anastasiya,,
G284,L - ??,Immobilizer Boots,No EXP,6/20/2012,Anastasiya,,
G285,L - ??,"Immobilizers: Leg, Wrist, Clavical, Foot",No EXP,7/3/2012,Anastasiya,,
G286,L - ??,Immobilizers: Back Brace; Pelvic; Knee; Heel; Hernia,No EXP,7/3/2012,Anastasiya,,
G287,L - 25.0 lbs.,Knee Immobilizers,No EXP,10/8/2012,Anastasiya,,
G288,L - 14.0 lbs.,Cervical Collars; Spinal Braces,No EXP,10/8/2012,Anastasiya,,
G290,L - 13.5 lbs.,Immobilizers: 17 Arm Slings; 3 Shoulder; 13 Wrist; 3 Knee,No EXP,10/8/2012,Anastasiya,,
G291,L - 20.0 lbs.,Post-Op Walking Boots x4; Foot Boots x3; Foam Ankle Protector,No EXP,10/8/2012,Anastasiya,,
G292,L - 8.0 lbs.,Heel protectors x22,No EXP,10/8/2012,Anastasiya,,
G293,L - 9.0 lbs.,Heel protector; Elbow Protector; 1 Foot Cradle,No EXP,10/8/2012,Anastasiya,,
G294,L - 17.2 lbs.,Immobilizers: Heel Protectors x8; Boots x4; Ankle Brace x1,No EXP,10/8/2012,Anastasiya,,
-----
G295,L - 16.0 lbs.,"Misc. Tracheostomy Supplies: Holders, Masks, Care Kits, etc.",11/2014,10/24/2012,,3rd Sort,
G296,L - 8.0 lbs.,54 Tracheostomy Care Kits ,No EXP,10/25/2012,,,
G297,L - 9.0 lbs.,53 Tracheostomy Care Kits  ,11/2014,11/8/2012,,3rd Sort,
G298,L - 14.0 lbs.,Tracheostomy Tube Inner Cannulas ,10/2016,11/8/2012,,,
G299,L - 8.0 lbs.,50 Respiratory Tracheostomy Kits,No EXP,11/27/2012,,,
G300,L - 8.5 lbs.,56 Tracheostomy Care Kits,No EXP,11/27/2012,,,
G301,L - 14.0 lbs.,Tracheostomy Supplies: 38 Tubes; 60 Inner Cannulas; 12 Suction Systems; 40 Trach. Tube Holders,3/2014,12/3/2012,,3rd Sort,
G302,L - 12.5 lbs.,63 Tracheostomy Masks; 49 Drainage Bags; 117 Holders/Ties; 6 Care Kits,3/2014,12/6/2012,,3rd Sort,
G303,L - 15.0 lbs.,Tracheostomy Tubes and Supplies,8/2015,1/28/2013,Polyclinique,Polyclinique,
G304,L - 10.0 lbs.,Tracheostomy Care Kits x48; Trach. Ties,No EXP,3/15/2013,,,
G305,L - 14.4 lbs.,Tracheostomy Tubes x33; Trach. Masks x15; Inner Cannulas x100,2/2016,4/12/2013,Polyclinique,Polyclinique,
G306,L - 12.8 lbs.,Misc. Tracheostomy Supplies,5/2017,5/13/2013,,,
G307,L - 15.4 lbs.,Tracheostomy Tube Inner Cannulas: Sizes 3-10,2/2015,7/11/2013,,,
G308,L - 13.6 lbs.,Misc. Tracheostomy Supplies,09/2016,8/7/2013,,,
G309,L - 9.2 lbs.,Tracheostomy Care Kits x52; Mini Care Kits x23,10/2017,8/29/2013,,,
G310,L - 7.8 lbs.,Tracheostomy Care Kits x24,10/2015,8/29/2013,Polyclinique,Polyclinique,
G311,L - 19.6 lbs.,100 Sterile Inner Cannulas Sizes 4.0 - 8.0; 75 Sterile Tracheostomy Tubes,3/2016,9/27/2013,,,
G312,L - 8.6 lbs.,46 Tracheostomy Care Kits; 3 Foam Trach. Dressings; 20 Trach. Holders,10/2014,10/28/2013,,3rd Sort,
G313,L - 7.0 lbs.,Tracheostomy Care Kits x36,No EXP,10/28/2013,,,
G314,L - 9.2 lbs.,Tracheostomy Care Kits x40; Trach. Collars x8,No EXP,10/28/2013,,,
G315,L - 8.6 lbs.,Tracheostomy Care Kits x50,No EXP,10/28/2013,,,
G316,L - 7.0 lbs.,Tracheostomy Care Kits x33; 4 Trach. Tubes (6; 7; 7.5; 8),11/2017,10/28/2013,,,
G318,L - 12.6 lbs.,Tracheostomy Supplies: Closed Suction; Inner Cannulas; Masks,2/2017,1/14/2014,,,
G319,L - 16.6 lbs.,Tracheostomy Tubes x54,6/2016,1/28/2014,,,
G320,L - 12.8 lbs.,Misc. Tracheostomy Supplies: Inner Cannulas; Trach. Ties; Suction,4/2016,1/28/2014,,,
G321,L - 10.8 lbs.,Tracheostomy Care Kits,4/2016,5/7/2014,,,
G322,L - 14.8 lbs.,Tracheostomy Tubes,10/2016,5/7/2014,,,
