Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
H241,S - ??,Central Line Care Kits; Masks,No EXP,12/13/2011,,,
H250,L - ??,Sterile Dressings,12/2016,2/27/2012,,,
H271,S - 4.5 lbs.,Sterile Kerlix Super Sponges (Size Medium) x100,No EXP,9/28/2012,,,
H278,L - 14.5 lbs.,Sterile Dressings: ABDs; 4x4,8/2015,10/17/2012,,,
-----
H280,S - 12.5 lbs.,Oxygen Tubing (Unsterile),No EXP,10/24/2012,Abshiro,,
H281,S - 10.0 lbs.,60 Oxygen Nasal Cannula (Unsterile),No EXP,10/24/2012,Abshiro,,
H282,L - 22.0 lbs.,Respiratory Mix ,3/2014,10/24/2012,,3rd Sort,
H283,L - 18.0 lbs.,Respiratory Mix,No EXP,10/24/2012,,,
H286,L - 8.0 lbs.,Flexible Blue Oxygen Tubing ,No EXP,10/31/2012,,,
H287,L - 10.0 lbs.,Flexible Blue Oxygen Tubing ,No EXP,10/31/2012,,,
H288,L - 14.0 lbs.,Oxygen Tubing ,No EXP,10/31/2012,Abshiro,,
H289,S - 10.0 lbs.,Oxygen Nasal Cannulas x76 ,No EXP,10/31/2012,Abshiro,,
H291,S - 15.5 lbs.,Oxygen Tubing (Unsterile),No EXP,11/19/2012,Abshiro,,
H292,S - 10.0 lbs.,70 O2 Nasal Cannula (Unsterile),No EXP,11/19/2012,Abshiro,,
H293,S - 10.0 lbs.,1 Nebulizer Machine; 25 Nebulizers,No EXP,11/19/2012,,,
H296,L - 10.0 lbs.,Tubing - Respiratory/Anesthesia,No EXP,11/20/2012,,,
H297,L - 27.0 lbs.,60 Oxygen Tubing ,No EXP,11/27/2012,Fairland,,
H298,L - 9.0 lbs.,Blue Corrugated Tubing,No EXP,11/27/2012,,,
H299,L - 16.0 lbs.,31 Humidifiers; 210 Humid Vent; Condensor Humidifier,6/2015,12/3/2012,Abshiro,,
H300,L - 18.0 lbs.,Respiratory Mix,No EXP,12/3/2012,,,
H301,S - 8.0 lbs.,30 Oxygen Masks,No EXP,12/3/2012,Abshiro,,
H302,S - 9.5 lbs.,75 Oxygen Nasal Cannulas,No EXP,12/3/2012,Abshiro,,
H303,S - 9.0 lbs.,40 Adult Oxygen Masks,No EXP,1/4/2013,Abshiro,,
H304,S - 9.5 lbs.,70 Oxygen Nasal Cannula and Masks ,No EXP,1/4/2013,Abshiro,,
H305,S - 10.0 lbs.,70 Oxygen Nasal Cannula and Masks ,No EXP,1/4/2013,Abshiro,,
H306,S - 5.0 lbs.,350 Tubing Connectors,9/2016,1/8/2013,,,
H307,S - 5.0 lbs.,400 Straight Tubing Connectors,9/2016,1/11/2013,,,
H308,S - 5.0 lbs.,400 Straight Tubing Connectors,9/2016,1/11/2013,,,
H310,S - 5.0 lbs.,400 Straight Tubing Connecters,9/2016,1/11/2013,,,
