Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
I98,L - ??,15 Funnels; 17 Ear/Ulcer; 175 Aseptos,No EXP,1/18/2012,,,
I101,S - ??,40 Glucometers [No Test Strips],No EXP,3/12/2012,Anastasiya,,
I102,L - ??,Bulb Syringes & Funnels,No EXP,4/12/2012,,,
I104,L - ??,Irrigation Trays x52,No EXP,5/7/2012,,,
I105,L - ??,Irrigation Trays x56,No EXP,5/7/2012,,,
I106,L - ??,Soft Boots x12,No EXP,5/7/2012,Anastasiya,,
I107,L - ??,Bulb Syringes (Sterile) x100,No EXP,5/23/2012,,,
I109,L - ??,"Bulb Syringes: 63 Sterile; 55 Unsterile
Ear/Ulcer Syringes: 2 Sterile; 20 Unsterile ",No EXP,7/3/2012,,,
I110,S - ??,BP Cuffs x67,No EXP,8/30/2012,Anastasiya,,
I111,L - 10.0 lbs.,25 Irrigation Trays; 9 Irrigation Containers w/ Syringe,No EXP,9/14/2012,,,
-----
I112,L - 24.0 lbs.,"Bulb Syringes: 80 Sterile; 40 Unsterile
Ear/Ulcer Syringes: 1 Sterile; 50 Unsterile",9/2016,9/14/2012,,,
I116,S - 16.0 lbs.,Defibrillator Pads (Unsterile) x76 ,No EXP,11/7/2012,Anastasiya,,
I120,S - 8.4 lbs.,EKG Electrodes,No EXP,4/12/2014,,,
I121,S - 10.6 lbs.,EKG Electrodes,No EXP,4/12/2014,,,
