Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
J391,L - ??,Impervious Stockinettes x90,No EXP,3/1/2012,MISSING,,
J409,S - ??,"Gloves (Loose, Unsterile) x185",No EXP,4/5/2012,Abshiro,,
J410,S - ??,"Gloves (Loose, Unsterile) x175",No EXP,4/5/2012,Abshiro,,
J411,S - ??,"Gloves (Loose, Unsterile) x200",No EXP,4/5/2012,Abshiro,,
J413,S - ??,"Gloves (Loose, Unsterile) x175",No EXP,4/5/2012,Abshiro,,
J431,S - ??,"Gloves (Loose, Unsterile)",No EXP,5/18/2012,Abshiro,,
J432,S - ??,"Gloves (Loose, Unsterile)",No EXP,5/18/2012,Abshiro,,
J451,L - ??,"Gowns (Paper, Sterile) x30",No EXP,8/14/2012,,,
J452,L - 17.0 lbs.,"Gowns (Paper, Sterile): 35 Lg.; 2 XXL",No EXP,8/30/2012,,,
J463,L - 19.0 lbs.,"Gowns (Paper, Sterile) x40",No EXP,8/30/2012,,,
J464,S - 17.0 lbs.,"Gloves (Loose, Unsterile)",No EXP,9/13/2012,Abshiro,,
J465,S - 17.0 lbs.,"Gloves (Loose, Unsterile)",No EXP,9/13/2012,Abshiro,,
J476,S - 17.0 lbs.,"Gloves (Loose, Unsterile) x197",No EXP,9/14/2012,Abshiro,,
J477,S - 17.0 lbs.,"Gloves (Loose, Unsterile) x249",No EXP,9/14/2012,Abshiro,,
J482,S - 18.0 lbs.,"Gloves (Loose, Unsterile) x258",No EXP,9/18/2012,Abshiro,,
J496,S - 16.0 lbs.,"Gloves (Loose, Unsterile): Sizes 5.5 - 9",No EXP,10/17/2012,Abshiro,,
J497,S - 18.0 lbs.,"Gloves (Loose, Unsterile): Sizes 6 - 9",No EXP,10/17/2012,Abshiro,,
-----
J498,S - 6.0 lbs.,Feeding Bags (Gravity) x9; Feeding Syringes x50 ,No EXP,10/31/2012,,,
J499,S - 10.0 lbs.,"Ostomy Supplies: Urostomy Pouch 1.75"" (90); Skin Barrier Rings 1.75"" (30); Ostomy Barriers (40); Stoma Adhesive (10); Stoma Powder (1) ",11/2015,10/31/2012,,,
J500,S - 6.5 lbs.,Enteral Feeding Bags & Sets x42 ,No EXP,10/31/2012,,,
J501,L - 16.5 lbs.,Kangaroo & Feeding Bags (75); Feeding Syringes (25) ,No EXP,11/7/2012,,,
J506,L - 24.0 lbs.,Ostomy Bags and Misc. Supplies,1/2017,12/3/2012,,,
J507,L - 18.0 lbs.,"Hollister Ostomy: 2.25""; 2.50""; 2.75""",8/2015,12/3/2012,,,
J508,L - 15.0 lbs.,88 Kangaroo Pump Feeding Bags,No EXP,12/3/2012,,,
J509,L - 16.0 lbs.,Kangaroo Pump Sets x82,No EXP,12/3/2012,,,
J510,L - 19.0 lbs.,Gravity Feeding Bags,No EXP,12/3/2012,,,
J511,L - 24.0 lbs.,"Hollister Ostomy Supplies: 4"" Pouches",10/2015,12/14/2012,,,
J513,L - 24.0 lbs.,"Hollister Ostomy Supplies: 1.75"" Pouches",1/2015,12/14/2012,,,
J514,L - 24.0 lbs.,"Hollister Ostomy Supplies: Stoma Adhesive 2.25"" and 2.75""",8/2016,12/14/2012,,,
J516,L - 21.0 lbs.,Convatec Ostomy Pouches and Stoma Adhesive,No EXP,12/14/2012,,,
J517,S - 10.0 lbs.,Coloplast Flex Ostomy Pouches and Skin Barriers,1/2015,12/14/2012,,,
J518,L - 23.0 lbs.,Enteral Ross Pump Feeding Bags,No EXP,12/14/2012,,,
J519,L - 24.0 lbs.,Enteral Feeding Bags for Pump Delivery x120,No EXP,1/8/2013,,,
J520,L - 19.5 lbs.,Enteral Feeding Bags for Pump Delivery x120,No EXP,1/8/2013,,,
J521,L - 18.5 lbs.,Enteral Feeding Bags for Gravity Delivery x 93,No EXP,1/8/2013,,,
J522,L - 25.0 lbs.,110 Kangaroo Feeding Bags 1000 cc. with Pump Sets,No EXP,1/8/2013,,,
J523,L - 15.5 lbs.,Kangaroo Feeding Bags for Pump x110,No EXP,2/6/2013,,,
J524,L - 19.0 lbs.,Feeding Bags for Kangaroo Infinity Pump x110,No EXP,2/18/2013,,,
J525,L - 19.0 lbs.,Kangaroo Feeding Bags x95,No EXP,2/18/2013,,,
J526,L - 25.0 lbs.,Assura and Convatec Ostomy Supplies,8/2017,3/5/2013,,,
J527,L - 22.0 lbs.,"Hollister Ostomy Supplies: 1 3/4""; 2 1/4""; 2 3/4""; 4""",9/2016,3/5/2013,,,
J528,L - 18.5 lbs.,Feeding & Kangaroo Bags: 80 Pump; 15 Gravity; 70 Feeding Syringes,No EXP,3/26/2013,,,
J529,L - 22.5 lbs.,Feeding & Kangaroo Bags x80; Feeding Syringes x60; Infinity Pump x1,No EXP,3/26/2013,,,
J530,L - 15.0 lbs.,Anascopes; Fecal Collectors; Rectal Tubes,No EXP,4/12/2013,,,
J531,L - 26.0 lbs.,Enema Sets,No EXP,4/12/2013,,,
J532,L - 18.0 lbs.,Digicare Stool Management System,6/2015,4/26/2013,,,
J533,L - 25.5 lbs.,"Ostomy Pouches: Hollister 2 3/4""; Convatec Assorted Sizes",4/2017,4/26/2013,,,
J536,L - 18.6 lbs.,Feeding Bags (Gravity) x90,No EXP,5/13/2013,,,
J537,L - 23.0 lbs.,Kangaroo Feeding Bags with Pump,No EXP,5/13/2013,,,
J538,L - 22.6 lbs.,1 EnteraLite Feeding Pump; 115 Feeding Bags,No EXP,6/4/2013,,,
J539,L - 20.2 lbs.,110 Enteral Infinity Pump Sets,No EXP,6/4/2013,,,
J540,L - 17.8 lbs.,Digicare Stool Management System,12/2016,6/7/2013,,,
J541,L - 31.2 lbs.,Feeding Bags for EnteraLite Pump: 500 ml. x15; 1200 ml. x153,No EXP,8/29/2013,,,
J542,L - 27.6 lbs.,Feeding Bags for EnteraLite Infinity Pump: 500 ml. x130; 1200 ml. x25,No EXP,8/29/2013,,,
J543,S - 5.4 lbs.,Feeding Bags for Patrol Pump (1000 ml.) x 27; Screw Connectors x3,03/2015,9/30/2013,,,
J544,L - 24.4 lbs.,Feeding Bags for E-Pump: 500 ml. x27; 1000 ml. x59; Spike Sets x13,09/2016,9/30/2013,,,
J545,L - 18.4 lbs.,Feeding Bags for Kangaroo Joey Pump: 1000 ml. x61; Spike Sets x53; 60 ml. Feeding Syringes x29,02/2015,9/30/2013,,,
J546,L - 27.2 lbs.,Feeding Bags (Gravity): 1000 ml. x105,No EXP,9/30/2013,,,
J547,S -  9.0 lbs.,Nasogastric (NG) Tubes,No EXP,10/28/2013,Abshiro,,
J548,L - 24.4 lbs.,Ostomy Supplies: Coloplast and Convatec Ostomy Bags and Stoma Adhesive,No EXP,10/28/2013,,,
J549,L - 22.8 lbs.,"Ostomy Supplies: Hollister Ostomy Bags and Skin Barriers 1 3/4""",01/2016,10/28/2013,,,
J550,L - 18.8 lbs.,Kangaroo Joey Pump Sets x125,08/2018,11/22/2013,,,
J552,S - 11.2 lbs.,Ostomy Supplies: Adapt Paste; Barrier Wipes; Disposable Wipes,8/2016,11/25/2013,,,
J553,L - 22.2 lbs.,"Ostomy Supplies: Hollister Ostomy Pouches and Barrier Rings 1 3/4"", 2 1/4"", 2 3/4""",1/2015,11/25/2013,,,
J555,L - 26.2 lbs.,148 EnteraLite Infinity Pump Sets,No EXP,12/12/2014,,,
J556,L - 20.6 lbs.,EnteraLite Infinity 500 ml. Pump Sets,No EXP,12/16/2013,,,
J557,L - 19.8 lbs.,Feeding Bags (Gravity): 1000 ml. x43; 1200 ml. x31,No EXP,12/17/2013,,,
J558,S - 8.4 lbs.,Nasogastric Tubes x85,No EXP,1/14/2014,Abshiro,,
J559,S - 8.0 lbs.,Gastrostomy Feeding Tubes: Sizes 5 - 10 & 14 - 26,2/2015,1/14/2014,Anastasiya,,
J560,L - 21.2 lbs.,Infinity Pump Sets: 1200 ml. x120,No EXP,2/10/2014,,,
J561,L - 18.8 lbs.,Infinity Pump Sets: 1200 ml. x120,No EXP,2/10/2014,,,
J562,S - 8.0 lbs.,Kangaroo Joey Pump Sets: 1000 ml. x46,01/2017,2/10/2014,,,
J563,L - 8.6 lbs.,Gravity Feeding Bags x38,No EXP,2/10/2014,,,
J564,S - 8.0 lbs.,Kangaroo Joey Pump Sets x28,No EXP,2/10/2014,,,
J565,S - 5.8 lbs.,60 cc. Feeding Syringes x63,No EXP,2/10/2014,,,
J566,S - 9.2 lbs.,Bard Adapter Tubing x254,No EXP,2/17/2014,,,
J567,L - 23.4 lbs.,EnteraLite Infinity Pump Sets x 120,No EXP,2/26/2014,,,
J568,L - 22.2 lbs.,"Ostomy, Hollister 2 1/4"": 23 Pouches; 22 Skin Barrier",1/2018,3/13/2014,,,
J569,L - 26.8 lbs.,"Ostomy, Hollister 2 3/4"": 16 Boxes Pouches; 36 Boxes Skin Barrier",4/2016,3/13/2014,,,
J570,L - 18.2 lbs.,"Ostomy, Convatec 1 3/4"": 28 Pouches",No EXP,3/13/2014,,,
J571,S - 8.6 lbs.,Nasogastric Tubes x110,6/2015,3/13/2014,Abshiro,,
J572,S - 8.4 lbs.,"Ostomy, Hollister: 1.75"" Pouches x4; 1.75"" Skin Barriers x4; 1.5"" - 2.75"" Urostomy Pouches x8",12/2016,3/13/2014,,,
