Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
L29,L - ??,Impervious Stockinettes,No EXP,Clinton,Anastasiya,,
L267,L - ??,White Paper Towels (Unsterile),None,Clinton,,,
L282,L - ??,White Paper Towels (Unsterile),None,Clinton,,,
L366,L - ??,White towels,No EXP,2/22/2012,,,
L369,L - ??,Stockinettes,No EXP,2/27/2012,Anastasiya,,
L378,L - ??,12 Basic Pack I; 101 Absorbant Towels,10/2016,4/11/2012,,,
L381,L - ??,White Paper Towels (Unsterile),No EXP,4/23/2012,,,
L389,L - 19.5 lbs.,Impervious Stockinettes x83,No EXP,9/13/2012,Anastasiya,,
L402,S - 14.5 lbs.,Sterile Towels x235,7/2016,9/28/2012,,,
L403,S - 15.0 lbs.,Sterile Towels x235,7/2016,9/28/2012,,,
L404,S - 12.5 lbs.,Sterile Towels x190,12/2016,9/28/2012,,,
L409,S - 12.0 lbs.,Mayo Stand Covers (Sterile) x63,No EXP,10/12/2012,,,
L410,S - 16.0 lbs.,Sterile Towels x260,No EXP,10/12/2012,,,
-----
L417,L - 28.0 lbs.,54 Suction Tubing; Suction Canisters,No EXP,10/24/2012,Polyclinique,Polyclinique,
L418,L - 25.5 lbs.,Bulb Syringes (Unsterile),No EXP,10/24/2012,,,
L419,L - 15.5 lbs.,Suction Catheters x215,No EXP,10/31/2012,Abshiro,,
L422,L - 19.0 lbs.,Drains: Jackson-Pratt x131; Bulb Holders x16,02/2015,11/2/2012,,,
L426,L - 9.5 lbs.,Suction Catheters: 8 Fr. Pediatric x250,No EXP,11/19/2012,Anastasiya,,
L431,L - 13.0 lbs.,Suction Catheters: 8Fr.; 10Fr.; 14Fr.,No EXP,11/27/2012,,,
L432,L - 18.0 lbs.,Bulb Syringes x90,No EXP,11/27/2012,,,
L433,L - 16.5 lbs.,Suction Catheters,No EXP,12/3/2012,,,
L434,L - 14.0 lbs.,Suction Catheters,No EXP,12/3/2012,,,
L435,L - 15.0 lbs.,Suction Tubing (Unsterile) x10,No EXP,12/3/2012,Polyclinique,Polyclinique,
L436,L - 15.0 lbs.,Suction Catheters x100; Suction Mini Trays x105 (All Unsterile),No EXP,12/6/2012,,,
L437,L - 14.5 lbs.,Suction Canisters x38,No EXP,12/14/2012,,,
L441,L - 14.0 lbs.,Suction Catheter Trays,No EXP,1/11/2013,,,
L442,L - 17.5 lbs.,Suction Catheters: 346 8Fr. Pediatric; 61 8Fr. Cath N Glove Kits,No EXP,1/11/2013,Anastasiya,,
L447,L - 15.0 lbs.,Suction Catheters,No EXP,1/18/2013,Fairland,,
L449,L - 27.5 lbs.,Suction Tubing Connectors x 60,7/2017,2/6/2013,Abshiro,,
L450,L - 13.5 lbs.,OR Floor Suction,No EXP,2/7/2013,,,
L451,L - 6.0 lbs.,Suction Canisters x38,No EXP,2/7/2013,,,
L452,L - 14.0 lbs.,Suction Catheters (Sterile),No EXP,3/26/2013,,,
L454,L - 29.5 lbs.,Suction Tubing x77,No EXP,4/1/2013,Polyclinique,Polyclinique,
L455,L - 25.8 lbs.,Bulb Syringes,No EXP,5/13/2013,,,
L459,L - 16.0 lbs.,Suction Catheters: All Sizes,No EXP,6/3/2013,,,
L460,S - 13.4 lbs.,Yankauer and Frazier Suction Tips: Mix of Sterile and Unsterile,12/2017,6/7/2013,Abshiro,,
L461,L - 14.4 lbs.,Suction Catheters,No EXP,6/12/2013,,,
L462,L - 22.8 lbs.,Chest Drains x7; Chest Tubes x5; Chest Tube Valves x9,7/2014,7/11/2013,,3rd Sort,
L463,L - 20.4 lbs.,Chest Drains x6; Chest Drainage Kits x2,1/2016,7/11/2013,,,
L464,L - 19.6 lbs.,Suction Catheter Kits,No EXP,8/7/2013,,,
L465,L - 23.4 lbs.,Chest Drains: 7 Water Seal Drains; 1 Chest Tube Tray; 1 Thoracentesis Tray; 4 Chest Drain Tubing,05/2016,8/12/2013,,,
L466,L - 22.3 lbs.,Chest Drains: 8 Pediatric Water Seal Dry Suction,12/2016,8/12/2013,,,
L467,L - 32.2 lbs.,Suction Tubing (Unsterile),No EXP,8/29/2013,Abshiro,,
L468,L - 25.6 lbs.,"Chest Drains: 7 Water Seal, Single Collection Drains; 8 PleurX 1000 ml. Drainage Kits",06/2015,9/10/2013,,,
L471,L - 22.6 lbs,14 Fr. Whistle Tip Suction Catheters x500,No EXP,9/29/2013,,,
L471,L - 25.4 lbs.,"Chest Drains: 5 Water Seal Drains; 3 Dry Suction, Water Seal Drains; 8 Extra Drain Tubing",2/2017,10/1/2013,,,
L472,L - 25.4 lbs.,"Chest Drains: 6 Water Seal Drains; 2 Dry Suction, Water Seal Drains; 8 Extra Drain Tubing",12/2015,10/1/2013,,,
L473,L - 18.4 lbs.,Bulb Syringes (Sterile) x150,02/2018,10/14/2013,,,
L474,S - 7.0 lbs.,Bulb Syringes (Sterile),01/2015,10/14/2013,,,
L475,L - 18.4 lbs.,Bulb Syringes (Sterile) x150,02/2018,10/14/2013,Fairland,,
L476,L - 18.4 lbs.,Bulb Syringes (Sterile) x150,02/2018,10/14/2013,,,
L477,L - 24.8 lbs.,Bulb Syringes x188,No EXP,10/28/2013,,,
L478,L - 22.2 lbs.,Chest Drains x6; Thoracentesis/Paracentesis Kits x4; Pneumothorax Kits x1,03/2015,10/28/2013,,,
L479,L - 19.2 lbs.,Suction Catheters (Sterile): 14 Fr. Red Rubber x140; 14 Fr. Kits x120; 8 & 14 Fr. Kits x80,No EXP,10/28/2013,,,
L480,L - 32.4 lbs,Suction Tips (Unsterile),No EXP,11/22/2013,Abshiro,,
L481,L - 12.6 lbs.,14 Fr. Whistle Tip Suction Catheters x300,No EXP,11/22/2013,,,
L482,L - 31.4 lbs,Suction Tubing x100,No EXP,11/22/2013,,,
L483,L - 14.8 lbs,Suction Kits and Catheters,3/2018,11/25/2013,,,
L484,L - 23.4 lbs.,Suction Canister Tubing; 22 Unsterile Canisters,3/2016,12/16/2013,,,
L485,L - 13.4 lbs.,Suction Catheters and Kits,2/2018,1/13/2014,,,
L486,L - 23.2 lbs.,12 Chest Drains,10/2015,1/14/2014,,,
L487,L - 38.2 lbs.,Suction Tubing (Unsterile),No EXP,2/17/2014,Abshiro,,
L488,L - 39.2 lbs.,Suction Tubing x96; Suction Tips x119,No EXP,2/26/2014,Abshiro,,
L489,L - 17.4 lbs.,Chest Drains: 22 PleurX Drainage Kits,02/2016,2/26/2014,,,
L490,L - 23.2 lbs.,Chest Drains: 5 Drains; 1 Thoracentesis Tray; 18 Drain Tubing; 3 Chest Tubes,2/2017,3/4/2014,,,
L491,L - 28.0 lbs.,Chest Drains: 7 Chest Tube Trays; 16 Chest Tubes; 33 Drain Tubing,8/2015,3/4/2014,,,
