Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
M66,L - ??,Plastics,No EXP,Clinton,,,
M76,L - ??,Plastics,No EXP,Clinton,,,
M91,L - ??,Plastics,No EXP,Clinton,,,
M96,L - ??,Large Plastic Bowls,No EXP,Clinton,,,
M132,L - ??,612 Emesis Basins,No EXP,Clinton,,,
M143,L - ??,Plastics,No EXP,Clinton,,,
M157,L - ??,Plastics,No EXP,Clinton,,,
M178,S - ??,Plastics,No EXP,Clinton,,,
M179,S - ??,Plastics,No EXP,Clinton,,,
M204,L - ??,Misc. Tubing,,Clinton,Note: Junk Tubing,3rd Sort,DO NOT SEND
M221,L - ??,Pill Bottles,No EXP,Clinton,,,
M240,L - ??,Plastic Trays x100,No EXP,11/9/2011,,,
M244,L - ??,Misc. Plastics,No EXP,11/16/2011,,,
M245,L - ??,Misc. Plastics,No EXP,11/16/2011,,,
M246,L - ??,Plastic Trays,No EXP,11/18/2011,,,
M248,L - ??,Plastic Basins; Emesis Basins,No EXP,12/27/2011,,,
M249,L - ??,Other Plastics: Sm. Blue Basins; Emesis Basins,No EXP,12/27/2011,,,
M251,L - ??,Other Plastics,No EXP,1/12/2012,,,
M252,L - ??,Other Plastics: Basins; Bowls; Graduates; Emesis,No EXP,1/12/2012,,,
M254,L - ??,Other Plastics: 36 Blue Basins; 17 Trays; 9 Misc.,No EXP,1/12/2012,,,
M255,L - ??,Blue Plastic Basins x36,No EXP,1/1/2012,,,
M256,L - ??,Other Plastics: 17 Trays; 14 Pink Basins; 1 urinal; 11 Misc.; 5 Trays,No EXP,1/12/2012,,,
M258,L - ??,"Assorted Basins, Trays, & Graduated Cups",No EXP,1/18/2012,,,
M259,L - ??,"Assorted Basins, Trays, & Bowls",No EXP,1/18/2012,,,
M262,L - ??,Pill Boxes; Pill Counter,No EXP,2/13/2012,,,
M263,L - ??,Plastics: Bowls; Pitchers; Blue Basins; Emesis Basins,No EXP,2/22/2012,,,
M264,L - ??,Plastics: 25 Lg. Rectangular Basins; 3 Pitchers; 15 Lg. Round Basins; 1 Bed Pan; 11 Trays,No EXP,3/1/2012,,,
M265,L - ??,Plastics: 18 Round Basins; 33 Emesis Basins; 10 Pitchers; 22 Wash Basins,No EXP,3/12/2012,,,
M266,L - ??,Plastic Trays x95,No EXP,3/12/2012,,,
M267,L - ??,Plastics: 20 Lg. Basins; 4 Pitchers; 30 Emesis Basins; 11 Wash Basins,No EXP,3/21/2012,,,
M268,S - ??,100 Amber Plastic Bottles for Liquid Medicines,No EXP,3/21/2012,,,
M269,L - ??,Plastics: 10 Bed Pans; 21 Round Basins; 15 Sm. Bowls; 5 Pitchers,No EXP,3/23/2012,,,
M270,L - ??,Plastics: 24 Round Basins; 2 Pitchers; 12 Emesis Basins; 13 Sm. Bowls; 1 Bed Pan,No EXP,3/23/2012,,,
M271,L - ??,Plastics: 26 Round Basins; 4 Wash Basins; 2 Pitchers; 10 Emesis Basins; 2 Urine Collectors; 16 Bowls,No EXP,4/5/2012,,,
M272,L - ??,Pill Bottles,No EXP,4/5/2012,,,
M273,L - ??,Plastics: 19 Wash Basins; 12 Sm. Rectangular Basins; 6 Sm. Basins; 3 Lg. Pitchers; 7 Sm. Pitchers,No EXP,4/11/2012,,,
M274,L - ??,Pink Wash Basins,No EXP,4/12/2012,,,
M275,L - ??,Plastic Trays,No EXP,4/12/2012,,,
M276,L - ??,Plastics: Basins; Emesis Basins; Pitchers; Sm. Bowls,No EXP,4/30/2012,,,
M277,L - ??,Plastics: Basins; Bowls; Trays; Square Basins; Sm. Bowls; Etc.,No EXP,5/7/2012,,,
M280,L - ??,Plastics: Basins; Emesis Basins; Pitchers; Sm. Bowls,No EXP,5/29/2012,,,
M282,L - ??,Urine Containers and Various Plastics,No EXP,6/20/2012,,,
M283,L - ??,Urine Containers and Various Plastics,No EXP,6/20/2012,,,
M284,L - ??,Brown Basins; Emesis Basins,No EXP,6/20/2012,,,
M285,L - ??,Pill Bottles,No EXP,7/3/2012,,,
M287,L - ??,Plastics: Basins; Pitchers; Bowls; Etc.,No EXP,8/13/2012,,,
M288,L - ??,Plastics: Basins; Pitchers; Bowls; Bed Pans; Etc.,No EXP,8/30/2012,,,
M288,L - ??,Plastics,No EXP,8/30/2012,,,
M289,L - ??,Plastics: Basins; Pitchers; Bowls; Bed Pans; Etc.,No EXP,8/30/2012,,,
M291,L - 31.0 lbs.,Plastic Trays x87,No EXP,9/13/2012,,,
M292,L - 24.0 lbs.,Other Plastics: 86 Trays; 38 Emesis Basins; 5 Sq. Pans; 7 Pitchers; 22 Bowls; 3 Urinals; 32 Sm. Sq. Bowls,No EXP,9/13/2012,,,
M293,L - 24.0 lbs.,Other Plastics: 38 Lg. Basins; 53 Emesis Basins; 81 Sm. Sq. Bowls; 86 Pitchers; 27 Round Bowls,No EXP,9/13/2012,,,
