Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
N144,S - ??,300 Peanut Kitners,No EXP,10/4/2011,,,
N150,L - ??,25 Sm. Sharps Containers,No EXP,11/10/2011,,,
N155,L - ??,74 Sm. Sharps Container + 70 Tops,No EXP,11/15/2011,,,
N156,S - ??,Sterile Q-Tips x232 Pkgs.,5/2016,11/16/2011,,,
N156,S - 9.4 lbs.,"Q-Tips: 6"" Unsterile x7000",No EXP,11/16/2011,,,
N169,S - ??,250 Sterile Cotton-Tipped Applicators,8/2016,2/13/2012,,,
N170,S - ??,250 Sterile Cotton-Tipped Applicators,12/2015,2/13/2012,,,
N171,S - ??,Unsterile Cotton-Tipped Applicators,No EXP,2/13/2012,,,
N172,S - ??,200 Sterile Cotton-Tipped Applicators,2/2016,2/13/2012,,,
N173,S - ??,4 Spill Kits,No EXP,2/13/2012,,,
N174,S - ??,Sterile Cotton-Tipped Applicators,8/2016,2/13/2012,,,
N176,S - ??,8 Spill Kits,No EXP,2/13/2012,,,
N180,S - ??,Q-Tips (Sterile & Unsterile): Lg. & Sm.,12/2015,2/28/2012,,,
N183,S - ??,Sterile Cotton Balls x100 Packs of 5,No EXP,3/7/2012,,,
N185,S - ??,Surgical Clips: Assorted ,3/2015,3/14/2012,,,
N186,S - ??,Q-Tips (Sterile),9/2016,3/21/2012,,,
N187,S - ??,Q-Tips (Sterile),9/2016,3/21/2012,,,
N188,S - ??,Q-Tips (Sterile),9/2016,3/21/2012,,,
N189,S - ??,Q-Tips (Sterile),9/2016,3/21/2012,,,
N190,S - ??,Lubricating Jelly Tubes x129,No EXP,3/23/2012,Abshiro,,
N191,S - ??,"3"" Q-Tips (Sterile) x200 Packs of 10",12/2015,4/17/2012,,,
N194,S - ??,"3"" Q-Tips (Unsterile) x8 Boxes + Misc.",11/2016,4/30/2012 [Updated 7/29/13],,,
N199,S - ??,Cotton-Tipped Applicators ,No EXP,6/11/2012,,,
N200,S - ??,Cotton-Tipped Applicators x400,No EXP,6/11/2012,,,
N203,S - ??,Q-Tips,2/2016,7/3/2012,,,
N204,S - ??,"3"" Q-Tips",9/2016,7/3/2012,,,
N209,S - ??,Expired Sutures,EXPIRED,,,,
N211,S - 13.0 lbs.,Chemo Spill Kits x4; Protective Aprons,No EXP,10/5/2012,,,
-----
N217,S - 17.0 lbs.,Lubricating Jelly Packs ,2/2015,10/22/2012,,,
N218,L - 18.5 lbs.,Cast Padding Wet/Dry ,No EXP,11/2/2012,Anastasiya,,
N219,L - 19.5 lbs.,"Cast Padding: Wet or Dry (6"" x68; 3"" x58, 2"" x4); Misc. Loose: 4"" x37",8/2015,11/2/2012,Anastasiya,,
N220,L - 17.5 lbs.,"Cast Padding: Wet or Dry 4"" x160 ",3/2016,11/2/2012,Anastasiya,,
N221,L - 20.5 lbs.,"Cast Padding: Wet or Dry 3"" x220; Water Resistant 3"" x12; Cotton 2"" x36",5/2015,11/2/2012,Anastasiya,,
N223,L - 32.0 lbs.,Dental Impresions,No EXP,12/3/2012,Anastasiya,,
