Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
O173,L - ??,Suction Catheters,No EXP,1/18/2012,,,
O174,L - ??,105 Suction Tubing,No EXP,1/18/2012,Polyclinique,Polyclinique,
O186,L - ??,Chest Tube Drainage,8/2015,4/12/2012,,,
O188,L - ??,Suction Catheters,No EXP,4/30/2012,,,
O193,L - ??,Suction Tubing ,No EXP,6/20/2012,Abshiro,,
O196,L - 26.0 lbs.,3 Sterile Chest Tubes,6/2016,9/17/2016,,,
O198,L - 40.0 lbs.,118 Suction Tubing,No EXP,9/28/2012,Polyclinique,Polyclinique,
O200,L - 11.8 lbs.,35 Irrigation Trays; 7 Irrigation Syringes (Unsterile),No EXP,10/12/2012,,,
O201,L - 27.5 lbs.,Suction Catheters; Yankeuer; Poole x510,No EXP,10/12/2012,Abshiro,,
O202,L - 13.5 lbs.,Suction Catheters: Adult/Peds Endobronchial x215,4/2016,10/15/2012,Anastasiya,,
O205,L - 21.0 lbs.,Suction Catheters x227 (Unsterile),No EXP,10/17/2012,,,
O206,L - 29.5 lbs.,Suction Tubing Misc. (Unsterile),No EXP,10/17/2012,Polyclinique,Polyclinique,
-----
O209,L - 22.5 lbs.,20 ml. Syringes: Luer-Lok x500,No EXP,10/21/2012,Abshiro,,
O210,L - 20.5 lbs.,10 ml. Syringes x475 ,No EXP,10/21/2012,Abshiro,,
O211,L - 17.5 lbs.,3ml. Syringes: Luer-Lok x1300,No EXP,10/21/2012,Abshiro,,
O213,L - 18.5 lbs.,"1ml. Syringes w/ Needle: 27Gx1/2"" x200; 26Gx3/8"" x400 ",5/2016,10///21/2012,Abshiro,,
O216,L - 21.5 lbs.,"3ml. Syringes w/ Needles: 22Gx1.5"" x900; 25Gx5/8"" x300; 25Gx1"" x93 ",No EXP,10/21/2012,Abshiro,,
O218,L - 26.5 lbs.,Insulin Syringes w/ Needles x1200 ,2/2017,10/22/2012,Anastasiya,,
O223,S - 10.5 lbs.,Insulin Syringes x1370,No EXP,10/31/2012,Anastasiya,,
O224,L - 23.0 lbs.,"Unsterile Syringes: Sizes 1, 6, 7, 10, 20, 30, 35ml.",No EXP,10/31/2012,Abshiro,,
O226,S - 7.0 lbs.,Insulin Syringes x70,9/2015,10/31/2012,Anastasiya,,
O227,L - 26.0 lbs.,"Unsterile Syringes: Sizes 1, 3, 5, 10, 20, 30ml.",No EXP,10/31/2012,Abshiro,,
O229,L - 25.0 lbs.,Insulin Syringes: Assorted,4/2015,11/20/2012,Anastasiya,,
O232,S - 6.5 lbs.,10ml. Syringes,No EXP,12/3/2012,Abshiro,,
O235,S - 8.5 lbs.,1200 Insulin Syringes,No EXP,12/6/2012,Anastasiya,,
O236,L - 28.0 lbs.,20-60ml. Syringes (Sterile),11/2015,12/14/2012 [Updated 10/22/2013],Abshiro,,
O237,L - 26.0 lbs.,1-3ml. Syringes: Assorted,12/2013,12/14/2012,Abshiro,3rd Sort,
O238,L - 28.4 lbs.,20-60ml. Syringes (Sterile),1/2015,12/14/2012 [Updated 10/22/2013],Abshiro,,
O239,L - 15.5 lbs.,1ml. Syringes,11/2016,1/19/2013,Abshiro,,
O240,L - 19.0 lbs.,Syringes: 30ml. x80; 60 ml. x132,4/2014,1/19/2013,Abshiro,3rd Sort,
O241,L - 26.0 lbs.,Unsterile Syringes: 1ml. x15; 1.25ml. x100; 3ml. x51; 10ml. x280; 12ml. x124; 20ml. x47; 25ml. x4; 30ml. x31; 60ml. x28,No EXP,1/28/2013,Abshiro,,
O244,L - 24.0 lbs.,Insulin Syringes,3/2014,2/18/2013,Anastasiya,3rd Sort,
O245,L - 16.0 lbs.,10ml. Syringes,No EXP,2/18/2013,Abshiro,,
O246,L - 23.5 lbs.,1-3ml. Syringes: Assorted,3/2014,2/27/2013,Abshiro,3rd Sort,
O247,L - 23.4 lbs.,Insulin Syringes,1/2017,4/1/2013,Anastasiya,,
O248,L - 24.0 lbs.,Unsterile Syringes: ~700 Assorted Sizes,No EXP,4/26/2013,Abshiro,,
O249,L - 24.0 lbs.,60ml. Syringes (Sterile) x210,5/2015,4/26/2013,Abshiro,,
O251,L - 18.5 lbs.,Insulin Syringes: 1000+,No EXP,4/26/2013,Anastasiya,,
O252,L - 19.8 lbs.,1-3ml. Syringes (Sterile),2/2017,6/3/2013,Abshiro,,
O253,L - 25.0 lbs.,Insulin Syringes x1000,2/2015,6/3/2013,Anastasiya,,
O254,L - 21.0 lbs.,20-60ml. Syringes,8/2015,6/4/2013,Abshiro,,
O255,L - 20.4 lbs.,Syringes (Sterile): 20ml. x80; 30ml. x67; 60ml. x118,4/2017,6/7/2013,Abshiro,,
O257,L - 19.0 lbs.,20-60ml. Syringes (Sterile),7/2015,7/11/2013,Abshiro,,
O258,L - 19.0 lbs.,1-3ml. Syringes (Sterile),11/2015,7/11/2013,Abshiro,,
O260,L - 32.6 lbs.,Syringes (Unsterile): 3cc. x1600; 10cc. x242; 20-30cc. x46; 60cc. x45,No EXP,8/29/2013,Abshiro,,
O263,L - 21.8 lbs.,Syringes 1-3cc: 1/2cc 27G1/2 x1000; 1cc 25G5/8 x70; 1cc 26G3/8 x38; 1cc. TB x55; 3cc. 20G1 x172; 3cc. 21G1.5 x86; 3cc. 25G5/8 x13; 3cc. 25G1.5 x19; 3cc. 26G5/8 x53; 3cc. Luer-Lok x556,No EXP,9/16/2013,Abshiro,,
O264,L - 18.2 lbs.,10cc Syringes (Sterile): Syringes x250; 20G1 x225; 21G1 x100; 22G1 x50; InterLink x30; Plastic Cannula x100; Control x23,No EXP,9/27/2013,Abshiro,,
O265,L - 14.4 lbs,Insulin Syringes: Approx. 1300,6/2016,9/27/2013,Anastasiya,,
O266,L - 29.6 lbs.,Syringes (Unsterile): 1cc. x331; 3cc. x25; 5cc. x108; 10cc. x154; 20cc. x41; 30cc. x230; 60cc. x120,No EXP,10/14/2013,Abshiro,,
O269,L - 16.0 lbs.,20-30cc. Luer-Lok Syringes x390,02/2015,11/22/2013,Abshiro,,
O270,L - 26.6 lbs.,60cc. Catheter Tip Syringes x200,05/2018,11/22/2013,Abshiro,,
O271,S - 5.6 lbs.,1cc. Tuberculin Syringes x500,9/2014,11/25/2013,Abshiro,3rd Sort,
O272,L - 19.8 lbs.,1-3cc. Syringes (Sterile),11/2017,11/25/2013,Abshiro,,
O273,L - 26.0 lbs.,"Syringes (Unsterile): Assorted Sizes, Approx. 700",No EXP,12/14/2014,Abshiro,,
