Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
P65,L - ??,"48 Suction Canisters (1500cc., Rigid)",No EXP,3/7/2012,Abshiro,,
P67,L - ??,Halter Monitor Holders,No EXP,4/30/2012,,,
P68,L - ??,EKG Electrodes,No EXP,5/18/2012,,,
-----
P71,L - 12.0 lbs.,Sharps Containers: 5 Med.; 12 Sm.,No EXP,11/19/2012,,,
P72,L - 16.0 lbs.,Sharps Containers (Biohazard): 3 Lg.; 39 Sm.,No EXP,11/19/2012,,,
P73,L - 16.0 lbs.,Sharps Containers: 3 Lg.; 4 Med.; 11 Biohazard,No EXP,11/19/2012,,,
P75,L - 18.0 lbs.,"Angiocaths: Gauges 14,16,18,20,22,24 (Sterile)",5/2015,12/3/2012,,,
P81,L - 18.0 lbs.,Sterile Needles ,1/2016,3/15/2013,,,
P85,L - 27.0 lbs.,Insulin Syringes: 325 Pkgs. of 10,No EXP,4/12/2013,Anastasiya,,
P86,L - 26.0 lbs.,Insulin Syringes: 300 Pkgs. of 10,No EXP,4/12/2013,Anastasiya,,
P87,L - 16.0 lbs.,5ml. Syringes (Sterile) x900,No EXP,4/12/2013,Abshiro,,
P88,L - 14.0 lbs.,5ml. Syringes (Sterile) x900,No EXP,4/12/2013,Abshiro,,
P89,S - 5.0 lbs.,Medtronics Paradym Soft Sets,1/2015,4/12/2013,,,
P90,L - 23.4 lbs.,Needles: Assorted Sizes (Sterile),2/2017,6/4/2013,,,
P93,S - 4.6 lbs.,Port Acess Needles,02/2015,11/22/2013,,,
P94,L - 23.2 lbs.,Sterile Needles,12/2014,1/23/2014,,3rd Sort,
P95,L - 16.0 lbs.,Biopsy,8/2014,1/23/2014,,3rd Sort,
P96,L - 21.8 lbs.,Needles: 18G1.5; 19G1.5; 20G1.5; 22G1; 22G1.5; 23G1; 25G5/8; 25G1; 25G1.5; 26G1/2; 27G1/2,8/2015,1/30/2014,,,
P97,S - 6.4 lbs.,Spinal Needles: 18G3.5; 20G6; 22G1.5; 22G5,9/2015,2/17/2014,,,
P98,L - 8.2 lbs.,Butterfly Needles: Vacutainer 21G and 23G,2/2015,4/15/2014,Abshiro,,
P99,L - 17.4 lbs.,Needles (Sterile): 23G; 25G,9/2018,4/19/2014,,,
P100,L - 17.8 lbs.,"Needles (Sterile): 22G1.5"" x1200; 25G5/8"" x800",5/2016,4/24/2014,,,
P101,L - 21.0 lbs.,Needles (Sterile): 16G to 27G (Mostly 18G and 23G),5/2016,5/7/2014,,,
P102,L - 25.8 lbs.,"Angio-Catheters: Mostly 18G, 20G, 24G; Some 14G, 16G, 22G",6/2015,5/18/2014,,,
