Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
Q79,L - ??,"Humidifiers, Etc.",,Clinton,Abshiro,3rd Sort,
Q92,L - ??,Heated Respiratory Tubing,,Clinton,,3rd Sort,
Q102,L - ??,Oxygen Tubing (Flexible),None,Clinton,Anastasiya,,
Q140,L - ??,Oxygen Tubing (Mostly Blue Flexible),No EXP,4/14/2011,Anastasiya,,
Q146,L - ??,41 Humidifiers; 25 Mednate; 5 Humidivents,No EXP,1/13/2012,Abshiro,,
Q147,L - ??,Respiratory Mix,No EXP,1/18/2012,,,
Q154,L - ??,Respiratory Circuits x19; O2 Tubing x 23; Nasal Cannula x15; Nebulizer Kit x1; Connectors x4,No EXP,2/28/2012,,,
Q154,L - ??,Oxygen Masks & Nasal Cannula,No EXP,2/28/2012,Abshiro,,
Q159,L - ??,Respiratory Mix,No EXP,4/11/2012,,,
Q160,L - ??,Respiratory Mix,No EXP,4/12/2012,,,
Q164,L - ??,Oxygen Tubing (Unsterile),No EXP,6/20/2012,Anastasiya,,
Q166,L - ??,Oxygen Tubing,No EXP,6/20/2012,Anastasiya,,
Q168,L - 12.0 lbs.,12 Ventilator Tubing,No EXP,9/13/2012,,,
Q169,L - 19.5 lbs.,102 Oxygen Masks,No EXP,9/18/2012,Anastasiya,,
Q170,L - 32.0 lbs.,Nasal Cannula x230,No EXP,9/18/2012,Anastasiya,,
Q171,L - 21.0 lbs.,Nasal Cannula x175,No EXP,9/18/2012,Abshiro,,
Q172,L - 28.0 lbs.,Oxygen Tubing,No EXP,9/18/2012,Abshiro,,
Q173,L - 30.0 lbs.,Oxygen Tubing,No EXP,9/18/2012,Abshiro,,
Q174,L - 38.0 lbs.,Nasal cannula x270,No EXP,9/18/2012,Abshiro,,
Q175,L - 24.0 lbs., Pediatric Nasal Cannula x175; Pediatric Face Masks x24,No EXP,9/18/2012,Anastasiya,,
Q176,L - 21.5 lbs.,24 ComfortFlo Humidification Systems (Use w/ Hudson RCI Heaters to Provide Heated Humidified Gas),No EXP,9/18/2012,Abshiro,,
Q177,L - 24.0 lbs.,95 Nasal Cannula; 26 Masks,No EXP,9/28/2012,Abshiro,,
Q178,L - 18.0 lbs.,Oxygen Masks,No EXP,9/28/2012,Abshiro,,
Q179,S - 9.0 lbs.,40 Nebulizers,No EXP,9/28/2012,,,
Q180,L - 16.5 lbs.,IPPB Universal Circuits x23,No EXP,9/28/2012,,,
Q181,L - 17.5 lbs.,IPPB Universal Circuits x39,No EXP,9/28/2012,,,
