Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
R2,L - ??,Respiratory Tubing: Blue Corrugated,No EXP,Clinton,,,
R10,L - ??,Ventilator Circuits,No EXP,Clinton,,,
R15,L - ??,Ventilator Circuits,No EXP,Clinton,,,
R20,L - ??,Respiratory Tubing: Blue Corrugated,No EXP,Clinton,,,
R21,L - ??,Respiratory Tubing: Blue Corrugated Connectors,No EXP,Clinton,,,
R24,L - ??,Ventilator Tubing; Circuit Tubing,No EXP,Clinton,,,
R32,L - 12.0 lbs.,Respiratory Tubing,No EXP,Clinton,,,
R34,L - ??,Guide Wires,,Clinton,,3rd Sort,
R35,L - ??,Respiratory Tubing: Blue Corrugated,No EXP,Clinton,,,
R36,L - ??,Respiratory Tubing: Blue Corrugated,No EXP,Clinton,,,
R42,L - ??,Vascular Mix (Ganz),,Clinton,,3rd Sort,
R45,L - ??,Respirigard & Ventilator Tubing,,Clinton,Random Crap,3rd Sort,DO NOT SEND
R47,L - 9.5 lbs.,Respiratory Tubing,No EXP,Clinton,,,
R183,L - 11.0 lbs.,Trach Tubes & Supplies; 35 Trach Care Kits,9/2014,Clinton [Updated 12/24/12],,3rd Sort,
R185,L - ??,Sputum Collectors x67,No EXP,10/4/2011,,,
R188,L - ??,Sputum Collectors x72,No EXP,10/4/2011,,,
R199,L - ??,94 Plastic Tubing,No EXP,1/2/2012,Random Crap,3rd Sort,DO NOT SEND
R200,L - ??,Trach Clean Trays x36; Trach Kits x4,01/2015,1/2/2012,,,
R201,L - ??,40 LMAs,3/2014,2/13/2012,,3rd Sort,
R203,L - ??,40 LMAs,3/2014,2/13/2012,,3rd Sort,
R206,L - ??,40 LMAs,4/2013,2/13/2012,,3rd Sort,
R208,L - ??,Misc. Trach Supplies,No EXP,2/28/2012,,,
R212,L - ??,Respiratory Mix,3/2014,3/1/2012,,3rd Sort,
R214,S - ??,Trach Care Kits x26 (Sterile),No EXP,3/7/2012,,,
R215,S - ??,Trach Care Kits x26 (Sterile),No EXP,3/7/2012,,,
R216,S - ??,Trach Care Kits x26 (Sterile),No EXP,3/7/2012,,,
R220,L - ??,Flexible Oxygen Tubing,No EXP,4/5/2012,,,
R225,L - ??,Oxygen Tubing (Various Sizes),No EXP,5/18/2012,,,
R226,L - ??,Respiratory,No EXP,5/18/2012,,,
R227,L - ??,Trach Supplies,2/2015,6/20/2012,,,
R230,L - ??,Trach Supplies,No EXP,7/3/2012,Polyclinique,Polyclinique,
R232,L - 22.0 lbs.,Respiratory Tubing Mix,No EXP,9/18/2012,,,
R233,L - 25.0 lbs.,16 Ambu Bags,No EXP,9/18/2012,,,
R234,S - 10.0 lbs.,46 Pediatric Oxygen Masks,No EXP,9/28/2012,Anastasiya,,
R235,L - 8.0 lbs.,46 Tracheostomy Care Kits,No EXP,9/28/2012,,,
