Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
U21,L - ??,Lap Sponges (Unsterile),No EXP,1/18/2012,,,
U22,L - ??,ENT Dressings,No EXP,2/12/2012,,,
U25,L - 19.5 lbs.,Lap Sponges (Unsterile),No EXP,10/10/2012,,,
-----
U29,L - 22.0 lbs.,Drapes (Sterile): 30 X-Ray Covers; 3 Half Drapes; 28 Drapes; 45 Towel Drapes,No EXP,10/24/2012,,,
U35,L - 12.5 lbs.,Autoclave Wraps,No EXP,10/31/2012,Fairland,,
U39,L - 26.5 lbs.,Autoclave Pouches x4000; Autoclave Wraps,No EXP,10/31/2012,,,
U46,L - 18.0 lbs.,Sterile Packs: 1 Pediatric Minor; 4 Drape Packs ,4/2015,11/8/2012,,,
U53,L - 18.0 lbs.,Autoclave Wraps x195; 1 Roll Tape (Unsterile),No EXP,11/19/2012,Polyclinique,Polyclinique,
U56,L - 16.5 lbs.,180 Autoclave Wraps (Unsterile),No EXP,11/26/2012,,,
U62,L - 21.5 lbs.,OR Drapes (Sterile): 18 U-Drapes; 6 C-Section; 11 Shoulder Pouch,11/2016,12/3/2012,,,
U75,L - 17.5 lbs.,Autoclave Wraps x125; Pouches x200 (Unsterile),No EXP,12/14/2012,Polyclinique,Polyclinique,
U79,L - 24.5 lbs.,4 Surgical Packs Extermity,No EXP,1/8/2013,,,
U89,L - 12.0 lbs.,Autoclave Wraps x130,No EXP,1/18/2013,,,
U160,L - 16.0 lbs.,Surgical Packs (Sterile): 1 Minor; 1 Plastics,10/2014,3/5/2013,,3rd Sort,
U161,L - 20.0 lbs.,5 Sterile OR Packs (Shoulder),3/2014,3/5/2013,,3rd Sort,
U162,S - 16.5 lbs.,Drapes Small (Sterile); Towel Drapes x235,8/2016,3/15/2013,,,
U167,L - 12.0 lbs.,Autoclave Wraps x114,No EXP,3/26/2013,,,
U168,L - 17.0 lbs.,Surgical Packs (Sterile): Thorasic x1; Vascular Minor x1,7/2014,3/26/2013,,3rd Sort,
U177,S - 9.6 lbs.,Quarter Drapes (Sterile) x134,No EXP,4/26/2013,,,
U180,S - 21.0 lbs.,Quarter Drapes (Sterile) x160,11/2016,4/26/2013,,,
U185,L - 15.0 lbs.,Autoclave Wraps,No EXP,5/13/2013,,,
U190,L - 18.8 lbs.,Autoclave Wraps,No EXP,7/11/2013,,,
U203,L - 20.8 lbs.,Autoclave Wraps: 3 Packs of 12,6/2017,7/29/2013,,,
U204,L - 20.8 lbs.,Autoclave Wraps: 3 Packs of 12,6/2017,7/29/2013,,,
U205,L - 20.8 lbs.,Autoclave Wraps: 3 Packs of 12,6/2017,7/29/2013,,,
U206,L - 18.4 lbs.,Autoclave Wraps: 2 Packs of 12,6/2017,7/29/2013,,,
U207,L - 20.8 lbs.,Autoclave Wraps: 3 Packs of 12,7/2016,7/29/2013,,,
U208,L - 20.8 lbs.,Autoclave Wraps: 3 Packs of 12,7/2016,7/29/2013,,,
U209,L - 20.8 lbs.,Autoclave Wraps: 3 Packs of 12,6/2017,7/29/2013,,,
U211,L - 15.0 lbs.,Surgical Pack: 1 Plastic Torso Pack,07/2015,8/7/2013,,,
U212,L - 16.2 lbs.,Surgical Pack: 1 Plastic Free Flap Pack - Pack B,11/2014,8/7/2013,,3rd Sort,
U213,L - 14.2 lbs.,Surgical Pack: 1 Lap. Prostatectomy Davinci,06/2014,8/7/2013,,3rd Sort,
U220,L - 19.6 lbs.,Surgical Drapes x21,01/2017,8/12/2013,,,
U221,L - 16.8 lbs.,Surgical Drapes x18,12/2015,8/12/2013,,,
U227,L - 16.4 lbs.,Autoclave Wraps,No EXP,9/10/2013,,,
U232,L - 15.0 lbs.,OR Packs (Sterile): 1 Minor; 1 ENT,4/2015,9/29/2013,,,
U236,L - 24.6 lbs.,"Drapes (Sterile), Specialty: Craniotomy; Shoulder; Angiography",8/2015,9/29/2013,,,
U246,L - 14.2 lbs.,Autoclave Wraps,No EXP,11/22/2013,,,
U264,L - 16.6 lbs.,Sterile Drapes; Laproscopic/Pelvoscopy Packs x4; Basic Converter Pack x1,4/2018,1/15/2014,,,
U265,L - 19.0 lbs.,"Sheets (Paper, Unsterile) x65",No EXP,1/28/2014,Polyclinique,Polyclinique,
