Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
V51,L - ??,46 Shrouds,No EXP,2/13/2012,,,
V53,S - ??,Magnetic Instrument Pads x40,No EXP,8/30/2012,,,
V54,S - 15.0 lbs.,Magnetic Instrument Pads x20,No EXP,9/18/2012,,,
-----
V57,L - 19.5 lbs.,1800 Raytex (Unsterile),No EXP,10/31/2012,,,
V58,L - 18.0 lbs.,Lap Sponges (Unsterile) ,No EXP,11/5/2012,,,
V60,L - 14.0 lbs.,Raytex (Sterile) x121 Packs of 10,8/2017,1/4/2013,,,
V63,L - 21.0 lbs.,Lap Sponges,No EXP,1/28/2013,,,
V67,S - 14.4 lbs.,"Towels (Cloth, Unsterile) x104",No EXP,4/1/2013,,,
V68,L - 17.4 lbs,Raytex (Unsterile),No EXP,4/12/2013,,,
V69,L - 22.8 lbs.,Lap Sponges (Unsterile) ,No EXP,5/13/2013,,,
V70,L - 23.0 lbs.,Towels (Unsterile),No EXP,7/11/2013,,,
V71,L - 21.0 lbs.,Lap Sponges (Unsterile) ,No EXP,7/12/2013,,,
V72,S - 15.8 lbs.,"Towels (Cloth, Unsterile) x115",No EXP,7/12/2013,,,
V73,S - 15.8 lbs.,"Towels (Cloth, Unsterile) x115",No EXP,7/12/2013,,,
V74,L - 28.6 lbs.,"Towels (Paper, Unsterile)",No EXP,9/29/2013,,,
V75,S - 6.0 lbs.,Lap Sponges (Sterile): 30 Packs,No EXP,10/14/2013,,,
V77,L - 14.6 lbs.,Raytex (Sterile) x120 Packs,2/2016,11/19/2013,,,
V79,L - 21.2 lbs.,"Towels (Paper, Unsterile)",No EXP,11/25/2013,,,
V80,S - 12.6 lbs.,"Towels (Cloth, Unsterile) x93",No EXP,12/16/2013,,,
V81,L - 19.0 lbs.,Raytex (Unsterile),No EXP,12/16/2013,,,
V82,S - 13.8 lbs.,"Towels (Cloth, Unsterile) x102",No EXP,12/18/2013,,,
V84,L - ??,Unsterile Lap Pads,No EXP,1/16/2014,,,
V85,S - 7.2 lbs.,Lap Sponges (Sterile): 19 pkgs.,No EXP,1/28/2014,,,
V87,L - 25.6 lbs.,Lap Sponges (Unsterile): Approx. 800,No EXP,2/26/2014,,,
V88,S - 8.4 lbs.,Sterile Absorbent Towels x83,1/2017,3/4/2014,,,
V89,S - 8.8 lbs.,Sterile Absorbent Towels x86,10/2016,3/4/2014,,,
V90,L - 20.8 lbs.,Raytex (Unsterile),No EXP,3/4/2014,,,
V91,L - 20.4 lbs.,"Towels (Unsterile, Paper)",No EXP,3/17/2014,,,
V92,S - 14.6 lbs.,"Towels (Unsterile, Paper) x330",No EXP,4/19/2014,,,
V93,S - 14.4 lbs.,"Towels (Cloth, Unsterile) x110",No EXP,4/24/2014,,,
V94,S - 13.4 lbs.,"Towels (Cloth, Unsterile) x97",No EXP,4/24/2014,,,
V95,L - 17.2 lbs.,Raytex (Unsterile),No EXP,5/7/2014,,,
V96,L - 21.4 lbs.,Lap Sponges,No EXP,5/7/2014,,,
V97,L - 19.8 lbs.,White Paper Towels (Unsterile),No EXP,5/7/2014,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
--,--,--,--,--,--,,--
