Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
W111,L - ??,120 Scrub Tops,No EXP,11/30/2011,,,
W114,L - ??,"Assorted Basins, Bowls, Pitchers",No EXP,1/18/2012,,,
W115,S - ??,30 Scrub Tops,No EXP,2/13/2012,,,
W117,S - ??,Sterilization Supplies ,No EXP,2/22/2012,,,
W119,S - ??,23 Scrub Tops; 15 Scrub Bottoms,No EXP,2/28/2012,,,
W120,L - ??,17 Plastic Pitchers,No EXP,2/28/2012,,,
W122,L - ??,"Sterilization Wraps, Tape",No EXP,4/5/2012,Polyclinique,Polyclinique,
W127,L - ??,Bed Linens: Sheets x50,No EXP,5/7/2012,,,
W133,L - 19.0 lbs.,Scrubs Tops x50; Scrub Bottoms x50,No EXP,9/17/2012,,,
W134,L - 19.5 lbs.,Scrubs Tops x50; Scrub Bottoms x50,No EXP,9/17/2012,,,
-----
W136,S - 12.0 lbs.,"Sterile Towels (4 Boxes of 50 18""x26"") ",No EXP,10/21/2012,,,
W137,S - 9.0 lbs.,"150 Sterile Towels 18""x26"" Fenestrated x2.75"" ",No EXP,10/21/2012,,,
W138,S - 12.0 lbs.,"Sterile Towels (4 Boxes of 50 18""x26"") ",No EXP,10/21/2012,,,
W139,S - 12.0 lbs.,"Sterile Towels (4 Boxes of 50 18""x26"") ",No EXP,10/21/2012,,,
W142,L - 24.0 lbs.,"OR Misc. Supplies: Sterile Towel Drapes, Marking Pens, Suction Tubing, etc.",08/2016,10/24/2012,Abshiro,,
W144,L - 4.5 lbs.,Foam Sponges,No EXP,10/31/2012,,,
W145,S - 14.0 lbs.,Magnetic Instrument Pads (Unsterile) x20 ,No EXP,10/31/2012,,,
W148,L - 15.0 lbs.,"Surgical Packs (Sterile): 1 Laparoscopy, 1 Fem. Pop.",5/2015,11/19/2012,,,
W149,L - 18.0 lbs.,OR Packs Fem/Pop Pack (Sterile); EMT Resuscitation Packs,9/2014,11/19/2012,,3rd Sort,
W151,L - 22.0 lbs.,OR Packs: 5 Hip Drape Pouches; 3 Shoulder Drape Packs; 6 Sterile Gowns,12/2016,11/20/2012,,,
W154,L - 25.0 lbs.,1 Sterile OR Universal Pack; 18 Leggings; 4 Gowns; 10 Bulb Syringes; 6 Suction Tubing; 15 Raytex; 3 Needle Box Tips,04/2017,11/27/2012,,,
W161,L - 22.0 lbs.,Skin Prep Unsterile & Expired Sterile,No EXP,12/14/2012,,,
