Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
Z91,L - ??,2 CPAP,No EXP,1/18/2012,,,
Z94,S - ??,Shoulder Suspension Set x38,No EXP,7/3/2012,Anastasiya,,
Z95,L - ??,Casting Supplies,No EXP,8/30/2012,Anastasiya,,
Z96,S - ??,Casting Supplies,No EXP,8/30/2012,Anastasiya,,
Z97,L - 13.0 lbs.,CPAP x31,No EXP,9/17/2012,,,
Z98,L - 10.5 lbs.,CPAP Masks: 2 sm.; 24 med.; 2 lg.,No EXP,9/18/2012,,,
Z99,L - 13.0 lbs.,CPAP Masks: 4 misc.; 9 lg.; 20 med.,No EXP,9/18/2012,,,
Z100,L - 25.0 lbs.,"Unsterile Synthetic Cast Padding (2""x44; 3""x57; 4""x49); Sterile Cotton Undercast Padding (4""x29)",7/2016,9/18/2012,Anastasiya,,
Z101,L - 20.0 lbs.,Casting Supplies: Cotton Undercast Padding,No EXP,9/28/2012,Anastasiya,,
Z102,L - 27.0 lbs.,Tan Stockinettes,01/2016,9/28/2012,Anastasiya,,
-----
Z105,S - 32.0 lbs.,Ultrasound Gel x48 bottles ,No EXP,10/21/2012,Abshiro,,
Z106,S - 32.0 lbs.,Ultrasound Gel x48 bottles ,No EXP,10/21/2012,Abshiro,,
Z107,S - 7.5 lbs.,"6"" Cotton-Tipped Applicators (Sterile) x6 Boxes of 1000",7/2017,10/31/2012,,,
Z107,S - 22.5 lbs.,Hot/Cold Packs: Ice Bags (57); Reusable Hot/Cold Packs (14); Disposable Hot Packs (42); Disposable Cold Packs (4) ,No EXP,10/31/2012,,,
Z108,S - 6.5 lbs.,Cotton-Tipped Applicators (Sterile) ,8/2016,10/31/2012,,,
Z109,S - 10.0 lbs.,8 Spill Kits ,No EXP,11/8/2012,,,
Z112,S - 16.0 lbs.,Povidone-Iodine: 38 Sponges; 5 Sponge Sticks (Lg. Packs),7/2014,11/8/2012,,3rd Sort,
Z113,S - 4.5 lbs.,Q-Tips (Sterile),11/2016,12/3/2012,,,
Z114,S - 13.0 lbs.,Medical Tape: Assorted,No EXP,12/3/2012,,,
Z115,S - 21.0 lbs.,Povidone-Iodine (20 Lg. Sponges; 29 Lg. Sticks),No EXP,12/14/2012,,,
Z116,S - 8.0 lbs.,Cotton-Tipped Applicators (Unsterile),No EXP,12/14/2012,,,
Z117,S - 7.0 lbs.,Q-Tips (Sterile),2/2014,12/14/2012,,3rd Sort,
Z118,S - 15.0 lbs.,Tape,No EXP,1/28/2013,,,
Z119,S - 12.5 lbs.,Tourniquets,No EXP,3/15/2013,,,
Z122,S - 9.0 lbs.,Spill Kits,No EXP,4/12/2013,,,
Z123,S - 25.4 lbs.,Lubricating Gel,5/2015,4/26/2013,,,
Z124,S - 18.5 lbs.,Medical Tape: Assorted,No EXP,6/3/2013,,,
Z126,S - 17.8 lbs.,Medical Tape: Assorted,No EXP,9/10/2013,,,
Z127,S -  8.2 lbs.,Skin Protectant Swabsticks,7/2015,9/29/2013,,,
Z129,S - 25.4 lbs.,Lubricating Gel,03/2015,10/14/2013,Abshiro,,
Z130,S - 16.8 lbs.,Medical Tape: Assorted,No EXP,10/14/2013,,,
Z131,S - 14.8 lbs.,Povidone-Iodine Swabsticks: approx. 400,01/2015,10/28/2013,,,
Z132,S - 7.4 lbs.,Skin Prep Pads,07/2015,10/28/2013,,,
Z133,S - 7.4 lbs.,Cotton-Tipped Applicators (Sterile & Unsterile),02/2015,1/22/2013,,,
Z134,S - 15.2 lbs.,Alcohol Prep Pads,No EXP,11/22/2013,,,
Z135,S - 18.8 lbs.,"Medical Tape: 1/2"" x30; 1"" x200",No EXP,11/22/2013,Fairland,,
Z136,S - 22.0 lbs.,Povidone-Iodine Sticks x64,02/2015,11/22/2013,,,
Z137,S - 16.2 lbs.,"Medical Tape: 2"" and 4""",No EXP,11/22/2013,,,
Z138,S - 7.0 lbs.,Cotton-Tipped Applicators (Sterile & Unsterile),5/2015,1/16/2014,,,
Z139,S - 8.4 lbs.,Safety Goggles: 60 Pair,No EXP,1/28/2014,,,
Z140,S - 8.4 lbs.,Safety Goggles: 60 Pair,No EXP,1/28/2014,,,
Z141,S - 8.4 lbs.,Safety Goggles: 60 Pair,No EXP,1/28/2014,,,
Z142,S - 11.6 lbs.,"Scaples x50; Blades: #10, #11, #15, #20, #21 x1600 Total",09/2017,2/10/2014,,,
Z143,S - 9.2 lbs.,Chemotherapy Spill Kits x7,No EXP,2/10/2014,,,
Z144,S - 6.8 lbs.,Chemotherapy Spill Kits x7,No EXP,2/10/2014,,,
Z145,S - 3.4 lbs.,Sterile Suture Boots x104; Sterile Rubberbands x99; Sterile Safety Pins x26,1/2016,2/15/2014,,,
Z146,S - 4.6 lbs.,Peanuts/Kitners (Sterile),5/2016,2/15/2014,,,
Z148,S - 15.6 lbs.,Tongue Depressors: Approx. 2500,No EXP,3/31/2014,,,
Z149,L - 23.8 lbs.,18 Spill Kits,No EXP,3/31/2014,,,
Z150,S - 6.4 lbs.,Cotton-Tipped Applicators (Sterile) ,5/2015,4/12/2014,,,
Z151,S - 7.6 lbs.,Cotton-Tipped Applicators,5/2015,4/12/2014,Fairland,,
Z152,S - 10.0 lbs.,Skin Prep: CareFusion Surgical Clippers; Blades,2/2016,4/12/2014,,,
Z153,S - 17.0 lbs.,Adhesive Tape,No EXP,4/12/2014,,,
Z154,S - 22.2 lbs.,Povodine-Iodine Sponges and Spongesticks,1/2015,4/12/2014,,,
Z155,S - 3.4 lbs.,Cotton Balls,No EXP,4/27/2014,,,
Z156,S - 10.4 lbs.,Thermometers: Filac FastTemp Thermometers x9; Probe Covers x79 Boxes; Clean Probes x1100,5/2015,5/7/2014,,,
