A,Mother and Child
B,Personal Care
C,Patient Care
D,Laboratory
E,Provider Protection
F,Pertaining to the Head
G,Respiratory: Tracheostomy
H,Respiratory: Oxygen
I,Cardiovascular
J,Digestive System
K,Urinary
L,Drains and Suction
M,Dressings
N,Ortho
O,Syringes
P,Needles
Q,IV Supplies
R,Anesthesia
S,Sutures
T,Cautery
U,Surgical Linens
V,Surgical Miscellanea
W,Surgical Supplies
X,Plastic
Y,UNKNOWN
Z,LittleThings
-----
B,Adult Diapers
A,OB Pads
A,OB/GYN Mix
A,Pediatric Diapers
A,Pediatric Supplies
A,Speculums
B,Anti-Embolism Stockings
B,Oral Care
B,Personal Care
B,Slippers
B,Under Pads/Chux (Cloth)
B,Under Pads/Chux (Disposable)
C,Blood Pressure Cuffs/Stethoscopes
C,Diabetic Glucometers
C,Diabetic Supplies
C,Foam
C,Patient Care
C,Probe Covers
C,Bed Linens
C,Immobilizers
C,Patient Gowns
C,Poseys (Vest<CMA> Wrist)
C,Positioning Devices
C,Shrouds
D,Blood Collection/Vacutainer Supplies
C,Exam Table Paper
E,Hats/Head Covers
D,Lab Supplies
E,Masks
D,Specimen Containers
E,Gloves (Sterile)
E,Gloves (Unsterile<CMA> Boxed)
E,Gloves (Unsterile<CMA> Loose)
E,Gowns (Unsterile<CMA> Paper)
E,Shoe Covers
F,Dental Surgery
F,ENT (Ears<CMA> Nose<CMA> Throat)
F,Eye Care
E,Gowns (Sterile<CMA> Paper)
F,Ophthalmic Surgery
G,Misc. Tracheostomy Supplies
H,Respiratory Mix
G,Tracheostomy Care Kits
G,Tracheostomy Tubes
H,Ambu Bags (Adult)
H,Ambu Bags (Pediatric)
H,Bronchoscopy Biopsy Forceps/Brushes
H,O2 Nasal Cannulas & Masks
H,Oxygen Tubing
H,Airway
H,CPAP
H,Humidifiers
H,Nebulizers
Z,O2 Gauges & Supplies
I,Cardiovascular Mix
I,Defibrillator Pads
I,EKG Electrodes
J,Endoscopy
I,Heart Cannulas
J,Enema
J,Feeding & Kangaroo Bags
J,Feeding Tubes
K,Misc. Urine Collection
J,Ostomy Care Supplies
J,Ostomy Supplies
K,Catheters (Foley<CMA> Straight<CMA> Texas)
K,Dialysis
J,Nasogastric (NG) Tubes
K,Urinary Catheter Trays/Kits
K,Urinary Drainage Bags
K,Urology Mix
L,Chest Drains
L,Jackson-Pratt Drains
L,Suction Canisters
L,Suction Catheters
L,Suction Tubing
L,Yankauer/Frazier Tips
L,Bulb Syringes/Funnels
L,Drainage Kits
L,Drains
T,Irrigation
M,Roll Gauze
M,Wound Care
M,Ace Bandages
M,Coban
M,Dressings (Sterile<CMA> Non-medicated)
M,Dressings (Sterile<CMA> Treated/Medicated)
M,Dressings (Unsterile)
M,Tegaderm
N,Cast Padding
N,Casting Tape
N,Ortho Drills & Saw Blades
N,Orthopedic Mix
N,Shoulder/Elbow Suspension Kits
N,Tan Stockinettes
