Box Number,Box Size & Weight,Contents,Exp date,Date entered,Reserved For,Shipped To,Date Shipped,
K3,,"Drapes (Paper, Unsterile)",NA,Clinton,,,,
K5,,Drape Sheets (Unsterile),NA,Clinton,,,,
K13,,"Sheets (Paper, Unsterile)",NA,Clinton,,,,
K15,,"Sheets (Paper, Unsterile)",NA,Clinton,,,,
K68,,"Sheets (Paper, Unsterile)",NA,Clinton,,,,
K69,,"Sheets (Paper, Unsterile)",NA,Clinton,,,,
K87,,"Sheets (Paper, Unsterile)","S, M",Clinton,Rick Blevins,,,
K88,,Sheets (Unsterile),"S, M",Clinton,Rick Blevins,,,
K113,,ED/OB/OR Gloves,470,Clinton,Bamba,,,
K118,,"Sheets (Paper, Unsterile)",NA,Clinton,,,,
K119,,"Sheets (Paper, Unsterile)",NA,Clinton,,,,
K123,,"Sheets (Paper, Unsterile)",NA,Clinton,,,,
K125,,"Sheets (Plastic, U-Split, Unsterile)",NA,Clinton,,,,
K126,,"Sheets (Paper, Unsterile)",NA,Clinton,,,,
K135,,Sheets (Plastic),NA,Clinton,,,,
K137,,"Sheets (Paper, Unsterile)",NA,Clinton,,,,
K139,,"Sheets (Paper, Unsterile)",50,Clinton,,,,
K147,,"Sheets (Paper, Unsterile) M, L",66,Clinton,,,,
K155,,"Sheets (Paper, Unsterile)",185,Clinton,,,,
K157,,"Sheets (Paper, Unsterile)",16,Clinton,,,,
K158,,"Sheets, Drapes","23, 17",Clinton,,,,
K159,,"Sheets (Paper, Unsterile)",78,Clinton,,,,
K161,,"Sheets (Paper, Unsterile)",60,Clinton,,,,
K162,,"Sheets (Paper, Unsterile)",63,Clinton,,,,
K168,,"Sheets (Paper, Unsterile)",70,Clinton,,,,
K171,,"Sheets (Paper, Unsterile)",72,Clinton,,,,
K228,,Drapes (Sterile),,Clinton,,,,
K231,,OR Sheets (Unsterile),,Clinton,,,,
K235,,Gloves (Unsterile),,Clinton,,,,
K308,,plastic aprons,,Clinton,,,,
K310,,masks,,Clinton,,,,
K311,,plastic sheets,,Clinton,,,,
K312,,misc plastic drapes & covers sterile & unsterile,,Clinton,,,,
K322,,Plastic sheets not exp,,clinton,,,,
K327,,plastic sheets unsterile,,9/29/2011,,,,
K346,,sterile gloves loose,no exp,11/3/2011,,,,
K347,,25  boxes masks,4/2016,11/9/2016,,,,
K349,,unsterile paper sheets 9 split  30 small sheets  12 large sheets,no exp,11/10/2011,,,,
K357,,plastic sheets (80) no exp,no exp,11/16/2011,,,,
K359,,boxed exam gloves,9/2014,11/17/2011,,,,
K362,,boxed exam gloves,no exp,11/17/2011,,,,
K371,,61 unsterile sheets,no exp,1/12/2012,,,,
K373,,48 unsterile sheets,no exp,1/12/2012,,,,
K375,,50 plastic sheets,no exp,1/18/2012,,,,
K387,,"surgical masks 9 boxes of 50, 9 boxes of 25",2014,2/3/2012,,,,
K388,,surgical masks 16 boxes of 50,no exp,2/3/2012,,,,
K389,,surgical masks 14 boxes of 50,no exp,2/3/2012,,,,
K390,,surgical masks 16 boxes of 50,no exp,2/3/2012,,,,
K391,,surgical masks 13 boxes of 50,no exp,2/3/2012,,,,
K392,,"surgical masks 14 boxes of 25, 14 boxes of 50",no exp,2/3/2012,,,,
K395,,Sterile gloves,2/2013,2/13/2012,,,,
K403,,18 boxes filtered masks,no exp,3/21/2012,,,,
K404,,18 boxes filtered masks,no exp,3/21/2012,,,,
K405,,18 boxes filtered masks,no exp,3/21/2012,,,,
K406,,18 boxes filtered masks,no exp,3/21/2012,,,,
K407,,18 boxes filtered masks,no exp,3/21/2012,,,,
K408,,18 boxes filtered masks,no exp,3/21/2012,,,,
K409,,18 boxes filtered masks,no exp,3/21/2012,,,,
K410,,18 boxes filtered masks,no exp,3/21/2012,,,,
K412,,18 boxes filtered masks,no exp,3/21/2012,,,,
K413,,18 boxes filtered masks,no exp,3/21/2012,,,,
K414,,18 boxes filtered masks,no exp,3/21/2012,,,,
K415,,18 boxes filtered masks,no exp,3/21/2012,,,,
K416,,Masks,10/2014,3/23/2012,,,,
K417,,Head covers,no exp,3/23/2012,,,,
K423 *Dupe*,,Surgical head covers,no exp,4/5/2012,,,,
K423 *Dupe*,,Masks,no exp,4/18/2012,,,,
K425,,Plastic sheets (unsterile),no exp,4/17/2012,,,,
K426,,18 boxes ear loop procedure masks,no exp,4/18/2012,,,,
K427,,Surgical masks,no exp,4/30/2012,,,,
K428,,Protective gowns,no exp,5/18/2012,,,,
K429,,50 boxes ear loop procedure masks,no exp,4/18/2012,,,,
K431 *Dupe*,,50 boxes ear loop procedure masks,no exp,4/18/2012,,,,
K431 *Dupe*,,OR sheets and drapes (unsterile),no exp,5/29/2012,,,,
K432 *Dupe*,,50 boxes ear loop procedure masks,no exp,4/18/2012,,,,
K432 *Dupe*,,"700 feet protectors, 7 extended boots",no exp,5/29/2012,,,,
K433,,OR sheets and drapes (unsterile),no exp,5/29/2012,,,,
K444,,Paper Sheets,no exp,6/11/2012,,,,
K445,,OR masks (unsterile),no exp,6/20/2012,,,,
K446,,OR caps (unsterile),no exp,6/20/2012,,,,
K447,,"Sheets (Paper, Unsterile) X 101",no exp,7/3/2012,,,,
K448,,Surgical gloves,no exp,/,,,,
K449,,"Surgical gloves (Sterile) 3 box 8.5 no exp. , 2 box 6.5",9/2013,/,Sierra Leone,,,
K450,,Surgical gloves (Sterile) 5 boxes 8.5,9/2014,8/14/2012,,,,
K451,,Surgical gloves (Sterile) 5 boxes 8.5,9/2014,8/14/2012,,,,
K452,,Masks  16 lbs.,no exp,9/13/2012,,,,
K453,,"Sheets (Paper, Unsterile) X 45  34.5 lbs",no exp,9/13/2012,,,,
K454,,Sheets plastic unsterile x 56=37 lbs.,no exp,9/14/2012,,,,
K456,,Gloves sterile 5x12-5.5x104-6x26-6.5x114-7x51-7.5x55-8x43-8.5x16-9x5- smx1 lx2   =32lbs.,no exp,9/14/2012,,,,
K457,,Paper sheets (unsterile) = 20.5lbs,no exo,9/17/2012,,,,
K458,,Unsterile plastic sheets x 60 = 35.5 lbs,no exp.,9/17/2012,,,,
K459,,Sheets paper unsterile x62=22.5 lbs.,no exp,9/18/2012,,,,
K460,,Sheets unsterile paper x-68 =23.5 lbs,no exp,9/18/2012,,,,
K461,,Sheets paper unsterile x 62 =21lbs,no exp,9/18/2012,,,,
K462,,Sheets plastic unsterile x62 =31.5lbs,no exp,9/18/2012,,,,
K463,,Masks,no exp,9/18/2012,,,,
K464,,Plastics sheets @drapes unsterile x 56 =39lbs,no exp,9/28/2012,,,,
K465,,Gloves sterile x 13lbs.,earilest 05/2014,10/10/2012,,,,
K466,,Gloves sterile x 13lbs.,earliest 01 /2014,10/10/2014,,,,
K467,,Sheets(unsterile) paper x62,no exp,10/10/2012,,,,
K468,,Gloves sterile assorted x12lbs,earliest 01 /2014,10/10/2014,,,,
K469,,Unsterile paper sheets x 60 =20 lbs,no exp,10/15/2012,,,,
K470,,Plastic Drapes (table @leg ) unsterile 33lbs,no exp,10/18/2012,,,,
K471,?? - 18.25lbs,"Urinary (Foley caths.-96 ,Red Rubber texas-115 Spardi caths -60",no exp,10/21/2012,,,,
K472,?? - 21lbs,Urinary Catheter tray kits,8/2014,10/23/2012,,,,
K473,?? - 30lbs,Hemodialysis blood tubing sets (48),Earliest exp: 08/2014,10/30/2012,,,,
K474,?? - 25lbs,Hemodialysis blood tubing sets (48),Earliest exp: 09/2014,10/30/2012,,,,
K475,?? - 20lbs,Foley kits (18); Drainage bags (5),Earliest exp: 10/2014,10/30/2012,,,,
K476,?? - 17.5lbs,Catheters: red rubber (350); male urinary control device (260),no exp,10/30/2012,,,,
K477,L - 25lbs,Urinary drainage bags (50); Texas cath (30); Foley (20),08/2016,11/1/2012,Rwanda,,,
K478,L - 21lbs,Urinary drainage bags (26); Foley (60); Male urinary control (110); clean catch (20) (Sterile);,09/2015,11/1/2012,Rwanda,,,
K479,L - 14lbs,Urinary Catheter tray kits x 15,7/2014,11/7/2012,,,,
K480,L - 25lbs,Dialysis/ 11Peritoneal Dialysis eyelet set 34 prong manifold sets /15 COPD Dialysis disconnect sets,no exp,11/7/2012,,,,
K481,L - 11lbs.,Urology Mix /2 Bottles irrigation+7 urinals +7 Bed pans & 2Toilet Hats,1/2014,11/19/2012,,,,
K482,L - 24lbs,Dialysis / 21low (Baxter)reicirculator Volume Cassette 4 Prong & other Dialysis supplies,4/2015,11/18/2012,,,,
K483,L 19lbs,305 Foley Catheters,exp 04/2014,11/25/2012,Bongolo Hospital,Bongolo Hospital,3/13/2013,
K484,L 30 lbs,48 Medisys Dialysis Tubing,5/2014,11/26/2012,,,,
K485,l 19lbs,12 Urinary Kits 20 bags,sterile exp 12/2014,11/26/2012,,,,
K486,L 16lbs,Urolgoy Mix,earliest  5/2015,12/2/2012,,,,
K487,L 18lbs,10 urinary Kits - 15 bags  sterile,exp 10/2014,12/2/2012,,,,
K488,L 20lbs,"55 Urinary Catheters ,",exp 03/2014,12/5/2012,,,,
