Box Number,Boz Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
S47,L - ??,??,,,,,,x
S48,L - ??,??,,,,,,x
S48,L - ??,??,,,,,,x
S51,L - ??,Vascular Mix,,Clinton,,,,x
S90,L - ??,Swan Ganz,,Clinton,,,,x
S157,L - ??,??,,,,,,x
S179,L - ??,??,,,,,,x
S186,L - ??,Picc Lines,10,Clinton,,,,x
S215,L - ??,??,,,,,,x
S230,L - ??,??,,,,,,x
S231,L - ??,Blood Secondary Sets,55,Clinton,,,,x
S257,L - ??,??,,,,,,x
S275,L - ??,IV Tubing,11/2013,11/16/2011,,,,x
S276,S - ??,100 Secondary IV Tubing,No EXP,12/27/2011,,,,x
S280,L - ??,141 IV Tubing,No EXP,1/18/2012,,,,x
S281,L - ??,18 Venous Central Line Access; 18 Dressing Trays,3/2013,,,,,x
S282,L - ??,"IV Mix, Secondary Tubing, Extension Sets",04/2014,1/27/2012,,,,x
S284,L - ??,"IV Tubing, IV Mix",2/2014,2/3/2012,,,,x
S289,L - ??,IV Tubing w/ Buretts #70,No EXP,2/22/2012,,,,x
S290,L - ??,IV Tubing w/ Buretts #12,No EXP,2/22/2012,,,,x
S291,L - ??,48 Secondary Sets; Med Infusion Sets,1/2016,3/7/2012,,,,x
S295,L - ??,IV Tubing,10/2013,4/12/2012,,,,x
S296,L - ??,Primary Tubing x5; Secondary Tubing x25; 3-Way Stopcocks x150; IV End Caps x300; Extension Sets x130,4/2016,5/17/2012,,,,x
S298,L - ??,"4 7"" Headrest Pillows w/ Right Intubation Slot; 1 Occluder; 6 Pressure Monitor Kits; 1 Irrigation Probe Syringes; 6 Blood Sampling Kit",11/2013,5/18/2012,,,,x
S299,L - ??,IV Tubing,No EXP,5/18/2012,,,,x
S300,L - ??,Central Lines,2/2015,5/18/2012,,,,x
S303,L - ??,IV Tubing x128,7/2014,7/16/2012,,,,x
S304,L - ??,1 box Wing Guard; 1 box 4-Way Stopcock; 3-Way Stopcock; Infusion Kits x32,No EXP,8/13/2012,,,,x
S305,L - 11.5 lbs.,IV Mix,12/2013,,,,,x
S306,S - 6 lbs.,48 Central Line Dressing Kits,9/2014,9/28/2012,,,,x
