Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
D4,L - ??,???,,,,,,x
D8,,Specimen Collection,,Clinton,,,,NO
D56,L - ??,???,,,,,,x
D92,L - ??,???,,,,,,x
D111,L - ??,???,,,,,,x
D149,,blood collection 11 2012-2015,2012-2015,11/3/2011,,,,NO
D151,,47 specimen containers no exp.,no exp,11/10/2011,,,,NO
D156,L - ??,Blood Collection/Vacutainer Supplies,12/2012,11/2/2012,,,,x
D159,L - ??,Lab Supplies,No EXP,1/18/2012,,,,x
D160,L - ??,Blood Collection,No EXP,2/3/2012,,,,x
D163,S - ??,50 Speculums: Assorted Sizes,No EXP,2/20/2012,,,,x
D164,S - ??,50 Speculums: Assorted Sizes,No EXP,2/20/2012,,,,x
D165,L - ??,Vacutainer Supplies,No EXP,2/22/2012,,,,x
D167,L - ??,Lab Supplies,No EXP,2/27/2012,,,,x
D169,L - ??,Pipets x6 Boxes of 500,No EXP,3/7/2012,,,,x
D170,L - ??,Blood Collection Supplies,3/2013,3/12/2012,,,,
D171,S - ??,Vaginal Swabs,6/2015,3/21/2012,,,,x
D172,S - ??,Vaginal Swabs,3/2016,3/21/2012,,,,x
D173,L - ??,Specimen Collection: Cups (Sterile & Unsterile); Vacutainer Tubes; Culture Swabs,11/2013,4/30/2012,,,,x
D174,L - ??,???,,,,,,x
D175,L - ??,???,,,,,,x
D176,S - ??,Biohazard Bags,No EXP,5/18/2012,,,,x
D177,S - ??,Biohazard Bags,No EXP,5/18/2012,,,,x
D178,S - ??,Biohazard Bags,No EXP,5/18/2012,,,,x
D179,S - ??,Biohazard Bags,No EXP,5/18/2012,,,,x
D180,S - ??,Biohazard Bags,No EXP,5/18/2012,,,,x
D181,L - ??,Speculums: Metal & Plastic (All Sizes),No EXP,5/18/2012,,,,x
D182,S - ??,Lab Supplies,No EXP,5/18/2012,,,,x
D183,L - ??,Lab Supplies,No EXP,5/18/2012,,,,x
D184,L - ??,Lab Supplies,No EXP,5/18/2012,,,,x
D185,L - ??,Lab Supplies,No EXP,5/18/2012,,,,x
D186,L - ??,Lab Supplies,No EXP,5/18/2012,,,,x
D187,L - ??,Lab Supplies,No EXP,5/18/2012,,,,x
D188,L - ??,Lab Supplies,No EXP,5/18/2012,,,,x
D189,L - ??,Lab Supplies,No EXP,5/18/2012,,,,x
D190,L - ??,Lab Supplies,No EXP,5/18/2012,,,,x
D191,L - ??,Lab Supplies,No EXP,5/18/2012,,,,x
D192,L - ??,Lab Supplies,No EXP,5/18/2012,,,,x
